phase,start,stop,drift,method,mean_abs_error,mean_width
0,0,3000,0.001,fixed,0.0879,98.35
0,0,3000,0.001,fixed_long,0.2226,458.42
0,0,3000,0.001,ewma,0.1337,39.0
0,0,3000,0.001,adwin,0.1787,331.84
0,0,3000,0.001,cube,0.0988,125.25
