method,tail_mae_mean,tail_mae_std,tail_rmse_mean,tail_rmse_std,tail_width_mean,tail_width_std,event_count_mean,event_count_std,cap_count_mean,cap_only_count_mean,first_cap_time_mean,first_drift_time_mean,cap_before_drift_delay_mean
fixed,0.1059,0.0125,0.1306,0.0139,100.0,0.0,0.0,0.0,0.0,,,,
fixed_long,0.4603,0.0262,0.5155,0.0247,500.0,0.0,0.0,0.0,0.0,,,,
ewma,0.131,0.0065,0.1633,0.0079,39.0,0.0,0.0,0.0,0.0,,,,
adwin,0.2151,0.0265,0.255,0.023,263.68,22.49,4.8,0.4,0.0,,,1005.4,
cube,0.1139,0.0088,0.1413,0.0121,72.69,4.58,0.0,0.0,1629.75,1629.75,208.9,,
