window,mean_total_error,mean_finite_sample_error,mean_drift_error,mean_linearization_residual
8,0.2008868691542796,0.19881881701567744,0.016544417108817377,0.023937002236601335
16,0.15125720182408578,0.15422718284460243,0.03549351764368769,0.016180961451382696
32,0.13729235702804898,0.13626596787247475,0.0735329721638629,0.006574538196568095
64,0.14922926136238346,0.08070746579585036,0.150263131924957,0.005139703670467902
