L,n,H,sigma0,empirical_size_naive,empirical_size_bootstrap,empirical_size_oracle_split_f,empirical_size_split_f,mean_sigma0_hat,mean_sigma0_hat_ratio,mean_df_naive
10,500,0.6,1.0,0.0,0.05,0.04666666666666667,0.05,1.0043621754098777,1.0043621754098777,7.0
10,1000,0.6,1.0,0.0,0.05,0.05333333333333334,0.03666666666666667,0.994828250283671,0.994828250283671,7.0
20,500,0.6,1.0,0.0,0.05333333333333334,0.05,0.023333333333333334,1.0415711207087497,1.0415711207087497,17.0
20,1000,0.6,1.0,0.0,0.04,0.043333333333333335,0.03666666666666667,1.0314123529441084,1.0314123529441084,17.0
30,500,0.6,1.0,0.0,0.04,0.056666666666666664,0.04,1.035769897038908,1.035769897038908,27.0
30,1000,0.6,1.0,0.0,0.04666666666666667,0.03,0.016666666666666666,1.0387107536703215,1.0387107536703215,27.0
50,500,0.6,1.0,0.0,0.04666666666666667,0.04,0.02666666666666667,1.0433140013273983,1.0433140013273983,47.0
50,1000,0.6,1.0,0.0,0.05333333333333334,0.043333333333333335,0.023333333333333334,1.0401987891276003,1.0401987891276003,47.0
