n,rmse_h,information_scale,scaled_constant,oracle_scaled_constant
200,0.00853223504698096,69868.91690002689,2.2553025782842915,2.252999033425916
500,0.005273219340080643,174672.29225006723,2.203879504149938,2.203276661452349
1000,0.003749305269958501,349344.58450013446,2.216041095469935,2.215409444892352
2000,0.002593193466410223,698689.1690002689,2.167588929016414,2.1680507564208233
5000,0.001674157262476425,1746722.922500672,2.2126272715918995,2.2128461530672876
