lag_count,sample_size,H,zeta,delta,radius,identifiability_score,lower,upper,empirical_hit_rate,gaussian_hit_rate
3,10,0.3,0.5,0.005,0.2558914659168278,0.029206463547056798,1102.7223577019038,1847.8133684432044,0.036,0.02330007373094012
3,10,0.3,0.5,0.01,0.3604668308553724,0.04114229178210428,993.229650842596,2060.6132931867573,0.045,0.032817540837372094
3,10,0.3,0.5,0.02,0.5068540061458144,0.057850358553922905,857.9748028480076,2406.5723961128174,0.061,0.04613217501165723
3,10,0.3,0.5,0.05,0.7918105639674713,0.09037419942799911,645.2373114940788,3284.7777863301776,0.095,0.07201014134761086
3,10,0.3,1.0,0.005,0.2558914659168278,0.06401533566754236,463.63763880582763,776.909818790891,0.056,0.05104198424310469
3,10,0.3,1.0,0.01,0.3604668308553724,0.09017653281849602,417.6016264586188,866.3811657324479,0.08,0.07185306756529486
3,10,0.3,1.0,0.02,0.5068540061458144,0.12679762188086774,360.7339680464511,1011.8390504699054,0.107,0.10089942198958002
3,10,0.3,1.0,0.05,0.7918105639674713,0.19808405433090442,271.28887111165767,1381.0789327150392,0.168,0.1570206995549981
3,10,0.3,2.0,0.005,0.2558914659168278,0.14160961381579046,194.93561422425847,326.6503407983366,0.103,0.11261162726036966
3,10,0.3,2.0,0.01,0.3604668308553724,0.19948132513111025,175.57985534658664,364.26840825387484,0.152,0.15811374981966786
3,10,0.3,2.0,0.02,0.5068540061458144,0.28049157409033787,151.66995029525432,425.4259151769328,0.207,0.22089961097078303
3,10,0.3,2.0,0.05,0.7918105639674713,0.43818572759726865,114.06291960800993,580.6721618512512,0.327,0.338748346135163
3,10,0.3,4.0,0.005,0.2558914659168278,0.31681045251915896,81.96032960322998,137.3395503093627,0.245,0.2486125675030868
3,10,0.3,4.0,0.01,0.3604668308553724,0.44628162722142467,73.82223547585522,153.15599934543,0.343,0.3446061739336841
3,10,0.3,4.0,0.02,0.5068540061458144,0.6275185710976235,63.76935875249422,178.86956351415682,0.461,0.46968063330676557
3,10,0.3,4.0,0.05,0.7918105639674713,0.9803135176126578,47.9575501058741,244.14256966917094,0.664,0.6730686158145198
3,20,0.3,0.5,0.005,0.2558914659168278,0.04130417685720313,1102.7223577019038,1847.8133684432044,0.038,0.032946596736780576
3,20,0.3,0.5,0.01,0.3604668308553724,0.05818398702536301,993.229650842596,2060.6132931867573,0.048,0.04639792438508006
3,20,0.3,0.5,0.02,0.5068540061458144,0.08181276165510416,857.9748028480076,2406.5723961128174,0.07,0.06520439223731733
3,20,0.3,0.5,0.05,0.7918105639674713,0.12780841851968716,645.2373114940788,3284.7777863301776,0.113,0.10169941230849533
3,20,0.3,1.0,0.005,0.2558914659168278,0.09053135590090453,463.63763880582763,776.909818790891,0.075,0.07213502215550882
3,20,0.3,1.0,0.01,0.3604668308553724,0.1275288757196996,417.6016264586188,866.3811657324479,0.107,0.10147817975780504
3,20,0.3,1.0,0.02,0.5068540061458144,0.17931891654057866,360.7339680464511,1011.8390504699054,0.141,0.14231270566551846
3,20,0.3,1.0,0.05,0.7918105639674713,0.28013315612461404,271.28887111165767,1381.0789327150392,0.235,0.22062465226136307
3,20,0.3,2.0,0.005,0.2558914659168278,0.2002662364207073,194.93561422425847,326.6503407983366,0.166,0.15872763294665582
3,20,0.3,2.0,0.01,0.3604668308553724,0.28210919544057306,175.57985534658664,364.26840825387484,0.235,0.22214021745674395
3,20,0.3,2.0,0.02,0.5068540061458144,0.3966749882099336,151.66995029525432,425.4259151769328,0.344,0.30839285330441735
3,20,0.3,2.0,0.05,0.7918105639674713,0.6196881988063799,114.06291960800993,580.6721618512512,0.493,0.4645369133182833
3,20,0.3,4.0,0.005,0.2558914659168278,0.448037638654152,81.96032960322998,137.3395503093627,0.351,0.3458739670456026
3,20,0.3,4.0,0.01,0.3604668308553724,0.6311375298544727,73.82223547585522,153.15599934543,0.508,0.47204939604737417
3,20,0.3,4.0,0.02,0.5068540061458144,0.8874452738872445,63.76935875249422,178.86956351415682,0.676,0.6251607822758407
3,20,0.3,4.0,0.05,0.7918105639674713,1.3863726719854967,47.9575501058741,244.14256966917094,0.861,0.8343668633408099
3,50,0.3,0.5,0.005,0.2558914659168278,0.06530763787358863,1102.7223577019038,1847.8133684432044,0.05,0.05207093881467406
