scenario_id,suite_name,master_seed,scenario_seed,repetitions,lag_count,sample_size,H,zeta,sigma0,a,C_K,C_S,empirical_relative_regret,empirical_relative_regret_se,theoretical_relative_regret,empirical_to_theoretical_ratio
7090455c3707,default,12345,123764941272839,1000,10,5000,0.9,0.5,1.0,0.5,100.0,1.0,1.9681939458607143e-05,8.604050981131037e-07,1.783427625320193e-05,1.1036018047030918
caabce2436d0,default,12345,222839246698192,1000,10,5000,0.9,1.0,1.0,0.5,100.0,1.0,3.0281026913904703e-06,1.3225460771976404e-07,2.8897806999539643e-06,1.0478659129527406
839bf5af80e8,default,12345,144705865089256,1000,10,5000,0.9,2.0,1.0,0.5,100.0,1.0,4.157616219376646e-07,1.8097179955977353e-08,4.171096113688367e-07,0.9967682609212758
9205a24433d8,default,12345,160552894870488,1000,20,500,0.9,0.5,1.0,0.5,100.0,1.0,1.3932167697735518e-05,6.499606541161377e-07,1.4671657306410287e-05,0.9495974044901067
b52057edd4a6,default,12345,199150518785190,1000,20,500,0.9,1.0,1.0,0.5,100.0,1.0,1.932358261637369e-06,8.369177634232354e-08,2.002487080862454e-06,0.9649791402425023
ccde4bc20bbb,default,12345,225255125814203,1000,20,500,0.9,2.0,1.0,0.5,100.0,1.0,2.1327851779873056e-07,9.453559670737583e-09,2.159538795634649e-07,0.9876114206878691
07f48c15824e,default,12345,8746903634510,1000,20,1000,0.9,0.5,1.0,0.5,100.0,1.0,7.198277477859411e-06,3.0120297764002484e-07,7.3358286532051435e-06,0.9812494018265225
90f426dea68b,default,12345,159378298545803,1000,20,1000,0.9,1.0,1.0,0.5,100.0,1.0,9.787047111360012e-07,4.086344140163717e-08,1.001243540431227e-06,0.9774891638396802
b26bb786f850,default,12345,196175710320720,1000,20,1000,0.9,2.0,1.0,0.5,100.0,1.0,1.0915913952957606e-07,4.938996032791141e-09,1.0797693978173246e-07,1.0109486317192664
c20cfd99e7e0,default,12345,213361050118112,1000,20,5000,0.9,0.5,1.0,0.5,100.0,1.0,1.424819244038933e-06,6.455989767538355e-08,1.4671657306410287e-06,0.9711372166635914
fd660a9baa6b,default,12345,278614706465387,1000,20,5000,0.9,1.0,1.0,0.5,100.0,1.0,1.9910750510429153e-07,8.75909578690136e-09,2.002487080862454e-07,0.9943010719376908
bcb900c5b5d6,default,12345,207502767928790,1000,20,5000,0.9,2.0,1.0,0.5,100.0,1.0,1.949808527824488e-08,8.93656214624566e-10,2.159538795634649e-08,0.9028819170861319
ce588a78ddba,default,12345,226879675620794,1000,50,500,0.9,0.5,1.0,0.5,100.0,1.0,3.35617938045734e-07,1.5041821446548013e-08,3.2856255170091533e-07,1.0214734951025126
894c47f75b8e,default,12345,150960717912974,1000,50,500,0.9,1.0,1.0,0.5,100.0,1.0,2.5901083938543354e-08,1.211431420357994e-09,2.577834296265604e-08,1.0047613989799549
3111d32f4800,default,12345,53952627296256,1000,50,500,0.9,2.0,1.0,0.5,100.0,1.0,2.8780854624804417e-09,1.3183000505810178e-10,2.868989873806324e-09,1.0031703104835468
726902dbc970,default,12345,125795345090928,1000,50,1000,0.9,0.5,1.0,0.5,100.0,1.0,1.6471140759024786e-07,7.055172539344174e-09,1.6428127585045767e-07,1.002618263935214
2d55dece6997,default,12345,49846833539479,1000,50,1000,0.9,1.0,1.0,0.5,100.0,1.0,1.2005751722151601e-08,5.074893040163904e-10,1.288917148132802e-08,0.9314603145395195
4f22a13d0b7e,default,12345,87010152614782,1000,50,1000,0.9,2.0,1.0,0.5,100.0,1.0,1.3768842565608362e-09,6.176712998561514e-11,1.434494936903162e-09,0.9598390493683457
2e74471ec6b4,default,12345,51076944283316,1000,50,5000,0.9,0.5,1.0,0.5,100.0,1.0,3.226484216260514e-08,1.4899182505138823e-09,3.285625517009153e-08,0.9819999873867322
8cb15cd9e44e,default,12345,154693394883662,1000,50,5000,0.9,1.0,1.0,0.5,100.0,1.0,2.6111451126351583e-09,1.1591097523789801e-10,2.577834296265604e-09,1.0129220161349433
243b38937e5e,default,12345,39836770860638,1000,50,5000,0.9,2.0,1.0,0.5,100.0,1.0,2.7874402924455484e-10,1.3541673697461954e-11,2.868989873806324e-10,0.9715755074267366
