scenario_id,suite_name,master_seed,scenario_seed,repetitions,lag_count,sample_size,H,zeta,sigma0,a,C_K,C_S
7090455c3707,default,12345,123764941272839,1000,10,5000,0.9,0.5,1.0,0.5,100.0,1.0
caabce2436d0,default,12345,222839246698192,1000,10,5000,0.9,1.0,1.0,0.5,100.0,1.0
839bf5af80e8,default,12345,144705865089256,1000,10,5000,0.9,2.0,1.0,0.5,100.0,1.0
9205a24433d8,default,12345,160552894870488,1000,20,500,0.9,0.5,1.0,0.5,100.0,1.0
b52057edd4a6,default,12345,199150518785190,1000,20,500,0.9,1.0,1.0,0.5,100.0,1.0
ccde4bc20bbb,default,12345,225255125814203,1000,20,500,0.9,2.0,1.0,0.5,100.0,1.0
07f48c15824e,default,12345,8746903634510,1000,20,1000,0.9,0.5,1.0,0.5,100.0,1.0
90f426dea68b,default,12345,159378298545803,1000,20,1000,0.9,1.0,1.0,0.5,100.0,1.0
b26bb786f850,default,12345,196175710320720,1000,20,1000,0.9,2.0,1.0,0.5,100.0,1.0
c20cfd99e7e0,default,12345,213361050118112,1000,20,5000,0.9,0.5,1.0,0.5,100.0,1.0
fd660a9baa6b,default,12345,278614706465387,1000,20,5000,0.9,1.0,1.0,0.5,100.0,1.0
bcb900c5b5d6,default,12345,207502767928790,1000,20,5000,0.9,2.0,1.0,0.5,100.0,1.0
ce588a78ddba,default,12345,226879675620794,1000,50,500,0.9,0.5,1.0,0.5,100.0,1.0
894c47f75b8e,default,12345,150960717912974,1000,50,500,0.9,1.0,1.0,0.5,100.0,1.0
3111d32f4800,default,12345,53952627296256,1000,50,500,0.9,2.0,1.0,0.5,100.0,1.0
726902dbc970,default,12345,125795345090928,1000,50,1000,0.9,0.5,1.0,0.5,100.0,1.0
2d55dece6997,default,12345,49846833539479,1000,50,1000,0.9,1.0,1.0,0.5,100.0,1.0
4f22a13d0b7e,default,12345,87010152614782,1000,50,1000,0.9,2.0,1.0,0.5,100.0,1.0
2e74471ec6b4,default,12345,51076944283316,1000,50,5000,0.9,0.5,1.0,0.5,100.0,1.0
8cb15cd9e44e,default,12345,154693394883662,1000,50,5000,0.9,1.0,1.0,0.5,100.0,1.0
243b38937e5e,default,12345,39836770860638,1000,50,5000,0.9,2.0,1.0,0.5,100.0,1.0
