scenario_id,suite_name,master_seed,scenario_seed,repetitions,lag_count,sample_size,H,zeta,sigma0,a,C_K,C_S,delta,radius,identifiability_score,lower,upper,empirical_hit_rate,empirical_hit_rate_se,gaussian_hit_rate
42e87d832361,default,12345,73566305592161,1000,10,5000,0.3,2.0,1.0,0.5,100.0,1.0,0.1,1.103687976708687,50.720196252085984,83.5021858855299,827.7091251135367,1.0,0.0,1.0
42e87d832361,default,12345,73566305592161,1000,10,5000,0.3,2.0,1.0,0.5,100.0,1.0,0.2,1.5271140852977325,70.178825664665,54.677194405045974,1371.78567800663,1.0,0.0,1.0
1ae53559e3c5,default,12345,29571744916421,1000,20,500,0.3,0.5,1.0,0.5,100.0,1.0,0.05,0.7918105639674713,4.536085665607761,645.2373114940788,3284.7777863301776,1.0,0.0,0.9999942692090023
1ae53559e3c5,default,12345,29571744916421,1000,20,500,0.3,0.5,1.0,0.5,100.0,1.0,0.1,1.103687976708687,6.32275374726824,472.3596950684625,4682.229881742131,1.0,0.0,0.9999999997430573
1ae53559e3c5,default,12345,29571744916421,1000,20,500,0.3,0.5,1.0,0.5,100.0,1.0,0.2,1.5271140852977325,8.74845654667387,309.3009195205053,7759.99164202459,1.0,0.0,1.0
a4a2797b3c9d,default,12345,181017729776797,1000,20,500,0.3,1.0,1.0,0.5,100.0,1.0,0.05,0.7918105639674713,10.138780374094617,271.28887111165767,1381.0789327150392,1.0,0.0,1.0
a4a2797b3c9d,default,12345,181017729776797,1000,20,500,0.3,1.0,1.0,0.5,100.0,1.0,0.1,1.103687976708687,14.132231251511737,198.60278714670392,1968.635161475391,1.0,0.0,1.0
a4a2797b3c9d,default,12345,181017729776797,1000,20,500,0.3,1.0,1.0,0.5,100.0,1.0,0.2,1.5271140852977325,19.554013322883844,130.04501722973532,3262.6745770886323,1.0,0.0,1.0
e45e1e62ceec,default,12345,251092887850732,1000,20,500,0.3,2.0,1.0,0.5,100.0,1.0,0.05,0.7918105639674713,22.97680844592136,114.06291960800993,580.6721618512512,1.0,0.0,1.0
e45e1e62ceec,default,12345,251092887850732,1000,20,500,0.3,2.0,1.0,0.5,100.0,1.0,0.1,1.103687976708687,32.02688670612863,83.5021858855299,827.7091251135367,1.0,0.0,1.0
e45e1e62ceec,default,12345,251092887850732,1000,20,500,0.3,2.0,1.0,0.5,100.0,1.0,0.2,1.5271140852977325,44.31389199601016,54.677194405045974,1371.78567800663,1.0,0.0,1.0
957558c61fe4,default,12345,164331233091556,1000,20,1000,0.3,0.5,1.0,0.5,100.0,1.0,0.05,0.7918105639674713,6.414993868388684,645.2373114940788,3284.7777863301776,1.0,0.0,0.9999999998591715
957558c61fe4,default,12345,164331233091556,1000,20,1000,0.3,0.5,1.0,0.5,100.0,1.0,0.1,1.103687976708687,8.941724100932053,472.3596950684625,4682.229881742131,1.0,0.0,1.0
957558c61fe4,default,12345,164331233091556,1000,20,1000,0.3,0.5,1.0,0.5,100.0,1.0,0.2,1.5271140852977325,12.372185898137877,309.3009195205053,7759.99164202459,1.0,0.0,1.0
5eb4f7d9c815,default,12345,104131345369109,1000,20,1000,0.3,1.0,1.0,0.5,100.0,1.0,0.05,0.7918105639674713,14.338400710966768,271.28887111165767,1381.0789327150392,1.0,0.0,1.0
5eb4f7d9c815,default,12345,104131345369109,1000,20,1000,0.3,1.0,1.0,0.5,100.0,1.0,0.1,1.103687976708687,19.985993102480794,198.60278714670392,1968.635161475391,1.0,0.0,1.0
5eb4f7d9c815,default,12345,104131345369109,1000,20,1000,0.3,1.0,1.0,0.5,100.0,1.0,0.2,1.5271140852977325,27.65355084004652,130.04501722973532,3262.6745770886323,1.0,0.0,1.0
