scenario_id,suite_name,master_seed,scenario_seed,repetitions,lag_count,sample_size,H,zeta,sigma0,a,C_K,C_S,tau2,std_log_horizon_theory,std_log_horizon_empirical,std_log_horizon_empirical_se,ks_pvalue,ci95_coverage,ci95_coverage_se
09feac94981a,default,12345,10989421762586,1000,10,500,0.3,0.5,1.0,0.5,100.0,1.0,58.456525402430266,0.3419255047592392,0.3479630839371103,0.007784584359177912,0.4742692887504426,0.947,0.007084560677981384
7dfeccd794b9,default,12345,138533311845561,1000,10,500,0.3,1.0,1.0,0.5,100.0,1.0,11.902558302120827,0.15428906832385,0.15706538738907824,0.003513846193690544,0.4882195880248512,0.947,0.007084560677981384
01db10de1e8c,default,12345,2040392457868,1000,10,500,0.3,2.0,1.0,0.5,100.0,1.0,2.367558815769997,0.06881219100958778,0.06619532526760044,0.0014809131126737314,0.7695812077402104,0.967,0.005648982209212561
70db633587ef,default,12345,124087564601327,1000,10,1000,0.3,0.5,1.0,0.5,100.0,1.0,58.456525402430266,0.2417778430758912,0.24513365414264307,0.00548409787715251,0.8365191950011401,0.948,0.007021111023192843
8f316dad84e9,default,12345,157442456257769,1000,10,1000,0.3,1.0,1.0,0.5,100.0,1.0,11.902558302120827,0.10909884647474888,0.10795607225069347,0.0024151790529391873,0.17063063601778639,0.957,0.006414904519944161
0304249c1bbf,default,12345,3316328963007,1000,10,1000,0.3,2.0,1.0,0.5,100.0,1.0,2.367558815769997,0.04865756689118351,0.049435017724294754,0.001105953716175768,0.6853712513032637,0.951,0.006826346021115546
5ba18e40977e,default,12345,100749434460030,1000,10,5000,0.3,0.5,1.0,0.5,100.0,1.0,58.456525402430266,0.10812633851419391,0.1110353079562069,0.0024840673092454066,0.3370750424288482,0.942,0.007391616873188169
12e3c67ec13a,default,12345,20769497071930,1000,10,5000,0.3,1.0,1.0,0.5,100.0,1.0,11.902558302120827,0.04879048739687036,0.047939842016759084,0.0010725038418517188,0.11091612227999448,0.952,0.006759881655768837
42e87d832361,default,12345,73566305592161,1000,10,5000,0.3,2.0,1.0,0.5,100.0,1.0,2.367558815769997,0.021760325437685885,0.02206518285310703,0.0004936393693755815,0.41603062376233135,0.943,0.007331507348424336
1ae53559e3c5,default,12345,29571744916421,1000,20,500,0.3,0.5,1.0,0.5,100.0,1.0,15.235267783131793,0.17455811515441952,0.1776293115489043,0.003973899600984852,0.5844924498267268,0.948,0.007021111023192843
a4a2797b3c9d,default,12345,181017729776797,1000,20,500,0.3,1.0,1.0,0.5,100.0,1.0,3.0495879055843615,0.07809722025250786,0.07740860698215606,0.0017317751767252213,0.9565955274244121,0.961,0.006122009474020767
e45e1e62ceec,default,12345,251092887850732,1000,20,500,0.3,2.0,1.0,0.5,100.0,1.0,0.593790411471351,0.034461294562780166,0.03457441848068916,0.0007734943439606065,0.32331234068787873,0.941,0.007451107300260817
957558c61fe4,default,12345,164331233091556,1000,20,1000,0.3,0.5,1.0,0.5,100.0,1.0,15.235267783131793,0.12343122693683228,0.1303823167138689,0.0029168960451781936,0.4598045979344927,0.94,0.007509993342207438
5eb4f7d9c815,default,12345,104131345369109,1000,20,1000,0.3,1.0,1.0,0.5,100.0,1.0,3.0495879055843615,0.05522307403236768,0.056812961159506375,0.001271012096561396,0.4506496651312192,0.947,0.007084560677981384
c1878991fd82,default,12345,212787872791938,1000,20,1000,0.3,2.0,1.0,0.5,100.0,1.0,0.593790411471351,0.024367815073808956,0.024393492946653737,0.0005457280166322416,0.0009794212707732676,0.952,0.006759881655768837
983dcba7d45d,default,12345,167391177200733,1000,20,5000,0.3,0.5,1.0,0.5,100.0,1.0,15.235267783131793,0.05520012279539203,0.054313265005122464,0.0012150892228877303,0.25693014272665937,0.95,0.006892024376045114
ab8001a738dd,default,12345,188566271899869,1000,20,5000,0.3,1.0,1.0,0.5,100.0,1.0,3.0495879055843615,0.02469650949257551,0.024080764039887858,0.0005387316866516955,0.08061733186275433,0.962,0.006046155803483734
84aef1849c97,default,12345,145886911175831,1000,20,5000,0.3,2.0,1.0,0.5,100.0,1.0,0.593790411471351,0.010897618193636176,0.010745243974919477,0.00024039118528397394,0.9876686148297504,0.957,0.006414904519944161
e7c8c4736c95,default,12345,254849475374229,1000,50,500,0.3,0.5,1.0,0.5,100.0,1.0,2.674215320894999,0.07313296549292937,0.07478149680598796,0.0016730018133102346,0.37650137159448815,0.953,0.00669260786241059
2b5d3a3beb03,default,12345,47679408958211,1000,50,500,0.3,1.0,1.0,0.5,100.0,1.0,0.5202305454106976,0.03225617911069746,0.03219622180423621,0.0007202896406308977,0.8369964670839272,0.951,0.006826346021115546
15fcb1bf14fd,default,12345,24175058031869,1000,50,500,0.3,2.0,1.0,0.5,100.0,1.0,0.09765887922213817,0.01397561298992915,0.013963795356992062,0.0003123961935871567,0.27209491744398706,0.952,0.006759881655768837
13aa57f20955,default,12345,21622340847957,1000,50,1000,0.3,0.5,1.0,0.5,100.0,1.0,2.674215320894999,0.051712815828332134,0.05121218738220408,0.001145712322077384,0.27553512795904866,0.953,0.00669260786241059
e2557e474ca3,default,12345,248856818699427,1000,50,1000,0.3,1.0,1.0,0.5,100.0,1.0,0.5202305454106976,0.022808562984342036,0.022550986043846855,0.000504507694479159,0.16722080687850416,0.949,0.006956938982052382
d09e431ca87b,default,12345,229378149361787,1000,50,1000,0.3,2.0,1.0,0.5,100.0,1.0,0.09765887922213817,0.009882250716417702,0.01015729950375569,0.0002272377688856012,0.7293040498864827,0.946,0.0071473071852271785
3879545ca676,default,12345,62093757556342,1000,50,5000,0.3,0.5,1.0,0.5,100.0,1.0,2.674215320894999,0.02312667430001555,0.023216698508881646,0.0005194009262104775,0.3274755411706829,0.947,0.007084560677981384
cfd3e66f0576,default,12345,228509011084662,1000,50,5000,0.3,1.0,1.0,0.5,100.0,1.0,0.5202305454106976,0.010200299460414852,0.010174635744185024,0.0002276256129768943,0.9020188811075571,0.953,0.00669260786241059
79b08eff3981,default,12345,133799220296065,1000,50,5000,0.3,2.0,1.0,0.5,100.0,1.0,0.09765887922213817,0.004419476874521195,0.0043203012108082835,9.665321059941535e-05,0.0736500487743843,0.952,0.006759881655768837
5ef92eb739d5,default,12345,104424323627477,1000,10,500,0.6,0.5,1.0,0.5,100.0,1.0,4.167401735794478,0.09129514484127267,0.0924218483882654,0.0020676494393285613,0.47959661998196823,0.955,0.00655553201502365
