scenario_id,detector,detector_input,holder_exponent,false_alarm_target,selected_delta,selected_threshold,selected_null_alarm_rate,target_met,operating_window,high_drift,mean_t_valid,mean_t_detect,mean_gap,median_gap,positive_gap_rate,detection_rate,undetected_invalid_rate,mean_pre_detection_excess_area
page_hinkley-observation-H0.50-alpha0.100-w240-z0.0100,page_hinkley,observation,0.5,0.1,0.02,100.0,0.0,1,240,0.01,1201.0,1728.0,527.0,555.0,1.0,1.0,0.0,6.002
page_hinkley-observation-H0.50-alpha0.100-w240-z0.0240,page_hinkley,observation,0.5,0.1,0.02,100.0,0.0,1,240,0.024,907.0,1522.2,615.2,618.5,1.0,1.0,0.0,18.882
page_hinkley-observation-H0.75-alpha0.100-w160-z0.0100,page_hinkley,observation,0.75,0.1,0.02,100.0,0.0,1,160,0.01,831.0,1289.3,458.3,445.0,1.0,1.0,0.0,9.726
page_hinkley-observation-H0.75-alpha0.100-w160-z0.0240,page_hinkley,observation,0.75,0.1,0.02,100.0,0.0,1,160,0.024,754.0,1112.2,358.2,369.0,1.0,1.0,0.0,10.888
page_hinkley-observation-H0.75-alpha0.100-w240-z0.0100,page_hinkley,observation,0.75,0.1,0.02,100.0,0.0,1,240,0.01,773.0,1289.3,516.3,503.0,1.0,1.0,0.0,14.583
page_hinkley-observation-H0.75-alpha0.100-w240-z0.0240,page_hinkley,observation,0.75,0.1,0.02,100.0,0.0,1,240,0.024,731.0,1112.2,381.2,392.0,1.0,1.0,0.0,16.615
page_hinkley-observation-H1.00-alpha0.100-w160-z0.0100,page_hinkley,observation,1.0,0.1,0.02,100.0,0.0,1,160,0.01,717.0,972.2,255.2,247.0,1.0,1.0,0.0,12.701
page_hinkley-observation-H1.00-alpha0.100-w160-z0.0240,page_hinkley,observation,1.0,0.1,0.02,100.0,0.0,1,160,0.024,707.0,910.8,203.8,211.0,1.0,1.0,0.0,19.933
page_hinkley-observation-H1.00-alpha0.100-w240-z0.0100,page_hinkley,observation,1.0,0.1,0.02,100.0,0.0,1,240,0.01,703.0,972.2,269.2,261.0,1.0,1.0,0.0,18.809
page_hinkley-observation-H1.00-alpha0.100-w240-z0.0240,page_hinkley,observation,1.0,0.1,0.02,100.0,0.0,1,240,0.024,701.0,910.8,209.8,217.0,1.0,1.0,0.0,26.174
page_hinkley-absolute_residual-H0.50-alpha0.100-w160-z0.0100,page_hinkley,absolute_residual,0.5,0.1,0.02,50.0,0.0,1,160,0.01,nan,nan,nan,nan,0.0,0.0,0.0,0.0
page_hinkley-absolute_residual-H0.50-alpha0.100-w160-z0.0240,page_hinkley,absolute_residual,0.5,0.1,0.02,50.0,0.0,1,160,0.024,1013.0,nan,nan,nan,0.0,0.0,1.0,0.0
page_hinkley-absolute_residual-H0.50-alpha0.100-w240-z0.0100,page_hinkley,absolute_residual,0.5,0.1,0.02,50.0,0.0,1,240,0.01,1201.0,nan,nan,nan,0.0,0.0,1.0,0.0
page_hinkley-absolute_residual-H0.50-alpha0.100-w240-z0.0240,page_hinkley,absolute_residual,0.5,0.1,0.02,50.0,0.0,1,240,0.024,907.0,nan,nan,nan,0.0,0.0,1.0,0.0
page_hinkley-absolute_residual-H0.75-alpha0.100-w160-z0.0100,page_hinkley,absolute_residual,0.75,0.1,0.02,50.0,0.0,1,160,0.01,831.0,nan,nan,nan,0.0,0.0,1.0,0.0
page_hinkley-absolute_residual-H0.75-alpha0.100-w160-z0.0240,page_hinkley,absolute_residual,0.75,0.1,0.02,50.0,0.0,1,160,0.024,754.0,nan,nan,nan,0.0,0.0,1.0,0.0
page_hinkley-absolute_residual-H0.75-alpha0.100-w240-z0.0100,page_hinkley,absolute_residual,0.75,0.1,0.02,50.0,0.0,1,240,0.01,773.0,nan,nan,nan,0.0,0.0,1.0,0.0
page_hinkley-absolute_residual-H0.75-alpha0.100-w240-z0.0240,page_hinkley,absolute_residual,0.75,0.1,0.02,50.0,0.0,1,240,0.024,731.0,1699.6,968.6,978.0,1.0,0.833,0.167,154.032
page_hinkley-absolute_residual-H1.00-alpha0.100-w160-z0.0100,page_hinkley,absolute_residual,1.0,0.1,0.02,50.0,0.0,1,160,0.01,717.0,1465.0,748.0,745.5,1.0,1.0,0.0,188.641
page_hinkley-absolute_residual-H1.00-alpha0.100-w160-z0.0240,page_hinkley,absolute_residual,1.0,0.1,0.02,50.0,0.0,1,160,0.024,707.0,1111.0,404.0,400.0,1.0,1.0,0.0,118.907
page_hinkley-absolute_residual-H1.00-alpha0.100-w240-z0.0100,page_hinkley,absolute_residual,1.0,0.1,0.02,50.0,0.0,1,240,0.01,703.0,1306.0,603.0,597.5,1.0,1.0,0.0,166.848
page_hinkley-absolute_residual-H1.00-alpha0.100-w240-z0.0240,page_hinkley,absolute_residual,1.0,0.1,0.02,50.0,0.0,1,240,0.024,701.0,1047.3,346.3,338.0,1.0,1.0,0.0,109.553
kswin-observation-H0.50-alpha0.100-w160-z0.0100,kswin,observation,0.5,0.1,0.0005,0.0,0.5,0,160,0.01,nan,nan,nan,nan,0.0,0.0,0.0,0.0
kswin-observation-H0.50-alpha0.100-w160-z0.0240,kswin,observation,0.5,0.1,0.0005,0.0,0.5,0,160,0.024,1013.0,nan,nan,nan,0.0,0.0,1.0,0.0
kswin-observation-H0.50-alpha0.100-w240-z0.0100,kswin,observation,0.5,0.1,0.0005,0.0,0.5,0,240,0.01,1201.0,nan,nan,nan,0.0,0.0,1.0,0.0
kswin-observation-H0.50-alpha0.100-w240-z0.0240,kswin,observation,0.5,0.1,0.0005,0.0,0.5,0,240,0.024,907.0,nan,nan,nan,0.0,0.0,1.0,0.0
kswin-observation-H0.75-alpha0.100-w160-z0.0100,kswin,observation,0.75,0.1,0.0005,0.0,0.5,0,160,0.01,831.0,1455.0,624.0,624.0,1.0,0.167,0.833,3.98
kswin-observation-H0.75-alpha0.100-w160-z0.0240,kswin,observation,0.75,0.1,0.0005,0.0,0.5,0,160,0.024,754.0,1574.8,820.8,757.0,1.0,0.833,0.167,60.205
kswin-observation-H0.75-alpha0.100-w240-z0.0100,kswin,observation,0.75,0.1,0.0005,0.0,0.5,0,240,0.01,773.0,1455.0,682.0,682.0,1.0,0.167,0.833,5.607
kswin-observation-H0.75-alpha0.100-w240-z0.0240,kswin,observation,0.75,0.1,0.0005,0.0,0.5,0,240,0.024,731.0,1574.8,843.8,780.0,1.0,0.833,0.167,108.585
kswin-observation-H1.00-alpha0.100-w160-z0.0100,kswin,observation,1.0,0.1,0.0005,0.0,0.5,0,160,0.01,717.0,1421.6,704.6,794.0,1.0,0.833,0.167,141.703
kswin-observation-H1.00-alpha0.100-w160-z0.0240,kswin,observation,1.0,0.1,0.0005,0.0,0.5,0,160,0.024,707.0,1009.2,302.2,265.5,1.0,1.0,0.0,73.148
kswin-observation-H1.00-alpha0.100-w240-z0.0100,kswin,observation,1.0,0.1,0.0005,0.0,0.5,0,240,0.01,703.0,1421.6,718.6,808.0,1.0,0.833,0.167,236.309
kswin-observation-H1.00-alpha0.100-w240-z0.0240,kswin,observation,1.0,0.1,0.0005,0.0,0.5,0,240,0.024,701.0,1009.2,308.2,271.5,1.0,1.0,0.0,106.118
kswin-absolute_residual-H0.50-alpha0.100-w160-z0.0100,kswin,absolute_residual,0.5,0.1,0.0005,0.0,0.375,0,160,0.01,nan,nan,nan,nan,0.0,0.0,0.0,0.0
kswin-absolute_residual-H0.50-alpha0.100-w160-z0.0240,kswin,absolute_residual,0.5,0.1,0.0005,0.0,0.375,0,160,0.024,1013.0,1860.7,847.7,731.0,1.0,0.5,0.5,9.452
kswin-absolute_residual-H0.50-alpha0.100-w240-z0.0100,kswin,absolute_residual,0.5,0.1,0.0005,0.0,0.375,0,240,0.01,1201.0,1699.5,498.5,498.5,1.0,0.333,0.667,2.149
kswin-absolute_residual-H0.50-alpha0.100-w240-z0.0240,kswin,absolute_residual,0.5,0.1,0.0005,0.0,0.375,0,240,0.024,907.0,1860.7,953.7,837.0,1.0,0.5,0.5,15.01
kswin-absolute_residual-H0.75-alpha0.100-w160-z0.0100,kswin,absolute_residual,0.75,0.1,0.0005,0.0,0.375,0,160,0.01,831.0,2024.3,1193.3,1349.0,1.0,0.5,0.5,26.28
kswin-absolute_residual-H0.75-alpha0.100-w160-z0.0240,kswin,absolute_residual,0.75,0.1,0.0005,0.0,0.375,0,160,0.024,754.0,1759.5,1005.5,1005.5,1.0,0.333,0.667,28.631
kswin-absolute_residual-H0.75-alpha0.100-w240-z0.0100,kswin,absolute_residual,0.75,0.1,0.0005,0.0,0.375,0,240,0.01,773.0,2083.3,1310.3,1407.0,1.0,0.5,0.5,41.619
kswin-absolute_residual-H0.75-alpha0.100-w240-z0.0240,kswin,absolute_residual,0.75,0.1,0.0005,0.0,0.375,0,240,0.024,731.0,1761.0,1030.0,1030.0,1.0,0.333,0.667,58.009
kswin-absolute_residual-H1.00-alpha0.100-w160-z0.0100,kswin,absolute_residual,1.0,0.1,0.0005,0.0,0.375,0,160,0.01,717.0,nan,nan,nan,0.0,0.0,1.0,0.0
kswin-absolute_residual-H1.00-alpha0.100-w160-z0.0240,kswin,absolute_residual,1.0,0.1,0.0005,0.0,0.375,0,160,0.024,707.0,1502.3,795.3,821.0,1.0,0.5,0.5,311.087
kswin-absolute_residual-H1.00-alpha0.100-w240-z0.0100,kswin,absolute_residual,1.0,0.1,0.0005,0.0,0.375,0,240,0.01,703.0,1615.0,912.0,912.0,1.0,0.167,0.833,80.581
kswin-absolute_residual-H1.00-alpha0.100-w240-z0.0240,kswin,absolute_residual,1.0,0.1,0.0005,0.0,0.375,0,240,0.024,701.0,1489.5,788.5,788.5,1.0,0.333,0.667,306.797
cusum-observation-H0.50-alpha0.100-w160-z0.0100,cusum,observation,0.5,0.1,0.02,40.0,0.875,0,160,0.01,nan,nan,nan,nan,0.0,0.0,0.0,0.0
