run_id,seed,t_valid,t_detect,invalidity_gap,detected,pre_detection_excess_area
885b45fe0030,3,1202,2547,1345,1,67.045164
885b45fe0030,4,1202,,,0,0.0
885b45fe0030,5,1202,1401,199,1,2.802076
885b45fe0030,6,1202,3119,1917,1,104.139144
885b45fe0030,7,1202,,,0,0.0
885b45fe0030,8,1202,,,0,0.0
885b45fe0030,9,1202,,,0,0.0
885b45fe0030,10,1202,1990,788,1,20.888255
885b45fe0030,11,1202,1921,719,1,8.457399
cda845aaf300,0,1108,3421,2313,1,202.794532
cda845aaf300,1,1108,2195,1087,1,62.474227
cda845aaf300,2,1108,,,0,0.0
cda845aaf300,3,1108,2514,1406,1,91.315983
cda845aaf300,4,1108,,,0,0.0
cda845aaf300,5,1108,1401,293,1,2.677847
cda845aaf300,6,1108,3022,1914,1,165.296069
cda845aaf300,7,1108,,,0,0.0
cda845aaf300,8,1108,3336,2228,1,238.364438
cda845aaf300,9,1108,,,0,0.0
cda845aaf300,10,1108,1981,873,1,33.368608
cda845aaf300,11,1108,1914,806,1,13.875195
86435ef51ab9,0,1051,3100,2049,1,267.684125
86435ef51ab9,1,1051,2151,1100,1,94.258429
86435ef51ab9,2,1051,2649,1598,1,147.948842
86435ef51ab9,3,1051,2417,1366,1,119.278635
86435ef51ab9,4,1051,3403,2352,1,369.378709
86435ef51ab9,5,1051,1401,350,1,5.300765
86435ef51ab9,6,1051,2536,1485,1,139.267358
86435ef51ab9,7,1051,,,0,0.0
86435ef51ab9,8,1051,2378,1327,1,137.415319
86435ef51ab9,9,1051,3591,2540,1,464.155189
86435ef51ab9,10,1051,1901,850,1,47.411082
86435ef51ab9,11,1051,1898,847,1,22.803425
