detector,detector_input,mean_t_valid,mean_t_detect,mean_gap,median_gap,positive_gap_rate,mean_pre_detection_excess_area
adwin,observation,1108.0,1641.7,533.7,539.0,1.0,11.527
page_hinkley,observation,1108.0,1410.6,302.6,344.0,1.0,5.928
