regime,condition,influence,tail_abs_error,tail_action_gap,tail_effort,tail_sigma_p,tail_sigma_p_eff,tail_sigma_a,tail_sigma_phi,tail_tci,tail_tcie
passive,full,0.0,0.644,0.644,0.0,0.814,0.814,1.0,0.941,0.798,0.798
coercive,full,0.3,0.261,0.37,0.111,0.957,0.706,1.0,0.982,0.95,0.706
