scheme,best_window,mean_absolute_error,w1_to_uniform,effective_sample_size,effective_lag_mean,horizon_proxy
uniform,12,0.2718874952439582,0.0,11.999999999999998,5.499999999999999,3.8801432660856703
triangular,18,0.25748237576115046,2.833333333333333,13.864864864864865,5.666666666666666,3.9413475892995034
geometric,15,0.25768629150922556,2.046134846655614,12.146096710348584,4.953865153344386,3.607469309036291
