truth_h,lambda_0,lambda_1,policy,mean_cumulative_validity_loss,mean_cumulative_update_cost,mean_total_cost,mean_regret,mean_lead_time,mean_log_memory_std,mean_tau_valid,mean_tau_detect,mean_delay_gap,mean_masking_index,schedule_mode
0.1,0.0,0.0,oracle,137.7533733207836,0.0,137.7533733207836,0.0,50.0,0.34770612960984426,70.0,20.0,-50.0,0.0,default
0.1,0.0,0.0,controller,159.50148453594383,0.0,159.50148453594383,21.748111215160236,52.666666666666664,0.7061647327538613,70.0,17.333333333333332,-52.666666666666664,0.09396372152955668,default
0.1,0.0,0.0,fixed_policy,146.50545739139858,0.0,146.50545739139858,8.752084070614984,0.0,8.881784197001252e-16,70.0,70.0,0.0,0.0054458095401933755,default
0.1,0.0,0.0,deploy_only,148.05715424206196,0.0,148.05715424206196,10.30378092127838,0.0,0.4656909006518595,70.0,70.0,0.0,0.023508180370628493,default
0.1,0.0,0.0,detector_only,162.2111463978727,0.0,162.2111463978727,24.457773077089115,52.666666666666664,0.6912756292760811,70.0,17.333333333333332,-52.666666666666664,0.14636967302763362,default
0.1,0.0,2.0,oracle,145.48069627587114,7.727322955087538,153.20801923095868,0.0,50.0,0.34770612960984426,70.0,20.0,-50.0,0.0,default
0.1,0.0,2.0,controller,169.5845012115061,10.083016675562261,179.66751788706836,24.103804935634958,52.666666666666664,0.7061647327538613,70.0,17.333333333333332,-52.666666666666664,0.09396372152955668,default
0.1,0.0,2.0,fixed_policy,146.50545739139858,0.0,146.50545739139858,1.0247611155274399,0.0,8.881784197001252e-16,70.0,70.0,0.0,0.0054458095401933755,default
0.1,0.0,2.0,deploy_only,157.4998455538564,9.442691311794418,166.94253686565082,12.019149277985255,0.0,0.4656909006518595,70.0,70.0,0.0,0.023508180370628493,default
0.1,0.0,2.0,detector_only,172.02094943674467,9.809803038871955,181.83075247561663,26.540253160873522,52.666666666666664,0.6912756292760811,70.0,17.333333333333332,-52.666666666666664,0.14636967302763362,default
0.1,0.0,4.0,oracle,153.20801923095868,15.454645910175076,168.66266514113377,0.0,50.0,0.34770612960984426,70.0,20.0,-50.0,0.0,default
0.1,0.0,4.0,controller,179.66751788706836,20.166033351124522,199.83355123819288,26.459498656109663,52.666666666666664,0.7061647327538613,70.0,17.333333333333332,-52.666666666666664,0.09396372152955668,default
0.1,0.0,4.0,fixed_policy,146.50545739139858,0.0,146.50545739139858,-6.702561839560104,0.0,8.881784197001252e-16,70.0,70.0,0.0,0.0054458095401933755,default
0.1,0.0,4.0,deploy_only,166.94253686565082,18.885382623588836,185.82791948923966,13.73451763469213,0.0,0.4656909006518595,70.0,70.0,0.0,0.023508180370628493,default
0.1,0.0,4.0,detector_only,181.8307524756166,19.61960607774391,201.4503585533605,28.622733244657923,52.666666666666664,0.6912756292760811,70.0,17.333333333333332,-52.666666666666664,0.14636967302763362,default
0.1,2.0,0.0,oracle,175.7533733207836,38.0,213.7533733207836,0.0,50.0,0.34770612960984426,70.0,20.0,-50.0,0.0,default
0.1,2.0,0.0,controller,210.83481786927715,51.333333333333336,262.1681512026105,35.08144454849357,52.666666666666664,0.7061647327538613,70.0,17.333333333333332,-52.666666666666664,0.09396372152955668,default
0.1,2.0,0.0,fixed_policy,146.50545739139858,0.0,146.50545739139858,-29.247915929385016,0.0,8.881784197001252e-16,70.0,70.0,0.0,0.0054458095401933755,default
0.1,2.0,0.0,deploy_only,215.39048757539527,67.33333333333333,282.7238209087286,39.63711425461171,0.0,0.4656909006518595,70.0,70.0,0.0,0.023508180370628493,default
0.1,2.0,0.0,detector_only,208.8778130645394,46.666666666666664,255.54447973120605,33.12443974375578,52.666666666666664,0.6912756292760811,70.0,17.333333333333332,-52.666666666666664,0.14636967302763362,default
