H,window,relative_gap,excess_error
0.75,48.0,0.23361,0.00427
0.75,50.0,0.27444,0.00753
0.75,53.0,0.33271,0.00956
0.75,56.0,0.38777,0.01438
0.75,58.0,0.42286,0.01579
0.75,61.0,0.47329,0.0193
0.75,64.0,0.5213,0.02406
0.75,67.0,0.56711,0.02845
0.75,71.0,0.62509,0.03615
0.75,74.0,0.66648,0.04146
0.75,78.0,0.71912,0.04875
0.75,82.0,0.76913,0.05526
0.75,86.0,0.81676,0.06303
0.75,90.0,0.86222,0.07
0.75,95.0,0.91629,0.07881
0.75,99.0,0.95753,0.08721
0.75,104.0,1.0068,0.09589
0.75,109.0,1.05376,0.10548
0.75,115.0,1.10735,0.11624
0.75,121.0,1.1582,0.12708
0.75,127.0,1.2066,0.13846
0.75,133.0,1.25276,0.14891
0.75,139.0,1.29689,0.15865
0.75,146.0,1.34602,0.17104
0.75,154.0,1.39937,0.18541
0.75,161.0,1.44382,0.19737
0.75,169.0,1.49231,0.21044
0.75,178.0,1.5442,0.22492
0.75,186.0,1.58816,0.23761
0.75,196.0,1.64053,0.25427
0.75,205.0,1.68542,0.269
0.75,215.0,1.73305,0.28456
0.75,226.0,1.78295,0.3017
0.75,237.0,1.83047,0.31817
0.75,249.0,1.87987,0.33708
0.75,262.0,1.93076,0.35577
0.75,274.0,1.97554,0.37413
0.75,288.0,2.02537,0.3947
0.75,302.0,2.07284,0.41476
0.75,317.0,2.12132,0.43608
0.75,333.0,2.17056,0.45864
0.75,350.0,2.22035,0.48305
0.75,367.0,2.26778,0.50614
0.75,385.0,2.31566,0.53017
0.75,404.0,2.36383,0.55629
0.75,424.0,2.41215,0.58292
0.75,445.0,2.46049,0.6105
0.75,467.0,2.50874,0.63886
0.75,491.0,2.55886,0.66961
0.75,515.0,2.60658,0.70004
0.75,541.0,2.65583,0.7326
0.75,567.0,2.70277,0.76479
0.75,595.0,2.75098,0.79898
0.75,625.0,2.80017,0.83532
0.75,656.0,2.84857,0.87243
0.75,689.0,2.89766,0.91131
0.75,723.0,2.94582,0.95064
0.75,758.0,2.9931,0.99082
0.75,796.0,3.04201,1.03442
0.75,836.0,3.09104,1.07903
0.75,877.0,3.13892,1.12442
0.75,921.0,3.18787,1.17287
0.75,966.0,3.23558,1.22139
0.75,1014.0,3.28407,1.2728
0.75,1064.0,3.3322,1.32555
0.75,1117.0,3.38082,1.3812
0.75,1173.0,3.42973,1.4387
0.75,1231.0,3.478,1.4978
0.75,1292.0,3.52636,1.55938
0.75,1356.0,3.57471,1.62294
0.75,1423.0,3.62294,1.68866
0.75,1494.0,3.67163,1.75738
0.75,1568.0,3.71997,1.82874
0.75,1645.0,3.76791,1.90145
0.75,1727.0,3.81655,1.97848
0.75,1813.0,3.86515,2.05788
0.75,1903.0,3.9136,2.14017
0.75,1997.0,3.96182,2.22504
0.75,2096.0,4.0102,2.31368
0.75,2200.0,4.05863,2.40508
1.00,1.0,2.89037,0.57725
1.00,2.0,2.19722,0.34045
1.00,3.0,1.79176,0.24058
1.00,4.0,1.50408,0.17474
1.00,5.0,1.28093,0.13617
1.00,6.0,1.09861,0.10726
1.00,7.0,0.94446,0.08319
1.00,8.0,0.81093,0.06489
1.00,9.0,0.69315,0.05145
1.00,10.0,0.58779,0.03912
1.00,11.0,0.49248,0.02926
1.00,12.0,0.40547,0.02107
1.00,13.0,0.32542,0.0135
1.00,14.0,0.25131,0.01086
1.00,15.0,0.18232,0.00574
1.00,16.0,0.11778,0.00452
1.00,17.0,0.05716,0.00107
1.00,18.0,0.0,0.0
1.00,19.0,0.05407,0.00079
1.00,20.0,0.10536,0.00123
1.00,21.0,0.15415,0.00295
1.00,22.0,0.20067,0.00371
1.00,23.0,0.24512,0.00581
1.00,24.0,0.28768,0.00863
1.00,26.0,0.36772,0.01694
1.00,27.0,0.40547,0.01946
1.00,28.0,0.44183,0.02539
1.00,30.0,0.51083,0.03565
1.00,31.0,0.54362,0.04069
1.00,33.0,0.60614,0.05224
1.00,34.0,0.63599,0.05969
1.00,36.0,0.69315,0.07251
1.00,38.0,0.74721,0.08612
1.00,40.0,0.79851,0.10039
1.00,42.0,0.8473,0.11703
1.00,44.0,0.89382,0.13116
1.00,46.0,0.93827,0.14756
1.00,48.0,0.98083,0.16416
1.00,50.0,1.02165,0.17883
1.00,53.0,1.07992,0.2027
1.00,56.0,1.13498,0.22666
1.00,58.0,1.17007,0.24271
1.00,61.0,1.2205,0.26711
1.00,64.0,1.26851,0.29014
1.00,67.0,1.31432,0.31501
1.00,71.0,1.37231,0.34816
1.00,74.0,1.41369,0.37086
1.00,78.0,1.46634,0.40339
1.00,82.0,1.51635,0.4352
1.00,86.0,1.56398,0.46724
1.00,90.0,1.60944,0.49931
1.00,95.0,1.66351,0.53894
1.00,99.0,1.70475,0.57013
1.00,104.0,1.75402,0.61125
1.00,109.0,1.80098,0.65132
1.00,115.0,1.85456,0.69856
1.00,121.0,1.90542,0.74643
1.00,127.0,1.95382,0.795
1.00,133.0,1.99998,0.84267
1.00,139.0,2.0441,0.89055
1.00,146.0,2.09323,0.94762
1.00,154.0,2.14658,1.01148
1.00,161.0,2.19103,1.06726
1.00,169.0,2.23953,1.13178
1.00,178.0,2.29141,1.20336
1.00,186.0,2.33537,1.26662
1.00,196.0,2.38774,1.34692
1.00,205.0,2.43264,1.41832
1.00,215.0,2.48027,1.4991
1.00,226.0,2.53016,1.58704
1.00,237.0,2.57769,1.67495
1.00,249.0,2.62708,1.7706
1.00,262.0,2.67797,1.87534
1.00,274.0,2.72276,1.97123
1.00,288.0,2.77259,2.08291
1.00,302.0,2.82006,2.19536
1.00,317.0,2.86853,2.31517
1.00,333.0,2.91777,2.44316
1.00,350.0,2.96756,2.57921
1.00,367.0,3.01499,2.71516
1.00,385.0,3.06287,2.85907
1.00,404.0,3.11104,3.0115
1.00,424.0,3.15936,3.17124
1.00,445.0,3.2077,3.33899
1.00,467.0,3.25596,3.51497
1.00,491.0,3.30607,3.70703
1.00,515.0,3.3538,3.89916
1.00,541.0,3.40305,4.10709
1.00,567.0,3.44999,4.31504
1.00,595.0,3.49819,4.53915
1.00,625.0,3.54738,4.7788
1.00,656.0,3.59579,5.02737
1.00,689.0,3.64487,5.29094
1.00,723.0,3.69304,5.56311
1.00,758.0,3.74031,5.84315
1.00,796.0,3.78923,6.14701
1.00,836.0,3.83826,6.46686
1.00,877.0,3.88614,6.79494
1.00,921.0,3.93509,7.14738
1.00,966.0,3.98279,7.50699
1.00,1014.0,4.03129,7.89091
1.00,1064.0,4.07942,8.29079
1.00,1117.0,4.12803,8.715
1.00,1173.0,4.17695,9.16305
1.00,1231.0,4.22521,9.62708
1.00,1292.0,4.27357,10.11491
1.00,1356.0,4.32192,10.62704
1.00,1423.0,4.37015,11.16303
1.00,1494.0,4.41884,11.73087
1.00,1568.0,4.46718,12.32316
1.00,1645.0,4.51512,12.93916
1.00,1727.0,4.56377,13.59508
1.00,1813.0,4.61237,14.28309
1.00,1903.0,4.66082,15.00318
1.00,1997.0,4.70903,15.75513
1.00,2096.0,4.75741,16.54705
1.00,2200.0,4.80584,17.37885
