scenario,expected_action,action,H,n_star,ci_width_n_star,ci_width_H,identifiability_score,KL_residual,KL_standardized
exact,use_n_star,use_n_star,0.6003276660410072,0.8475217825154148,0.006552901253570775,0.004278167287208756,0.9923274844950875,0.16837392307349036,0.30552740952844737
noisy,hold,hold,0.5936190886333174,0.8372283562041517,0.040759962636443436,0.027402432040722458,0.9535757347087852,0.2587873953350416,0.27556537895210176
sinusoidal_misspec,alarm,alarm,0.6809402995852499,1.1014952332233083,0.25613362918481253,0.16261761085445714,0.8113375192020517,0.6586981374474248,0.5836386894069683
piecewise_misspec,alarm,alarm,0.7403914794071828,0.9721467728495911,0.09248853038736904,0.06095751919454484,0.9131265607047192,0.6961822396417315,0.6327966594196964
mixed_misspec,alarm,alarm,0.7990013362718863,1.0956382116800252,0.18614224986212413,0.11318829541080766,0.8547783684905208,0.6018512341017048,0.8750007865301925
hetero_power,use_n_star,use_n_star,0.596892696145128,0.8449874888551305,0.01526137973149222,0.012086383872883188,0.9822593434425941,0.11539603550096969,0.1212727760900171
hetero_ar,use_n_star,use_n_star,0.6010889456326877,0.8491211112839101,0.005360308430089056,0.0038693333908599303,0.993726828569446,0.12930555449937386,0.08162068089276925
