policy,accuracy,false_alarm_rate,miss_alarm_rate,over_deployment_rate,under_deployment_rate,mean_action_loss
oracle,1.0,0.0,0.0,0.0,0.0,0.0
controller,0.9485714285714285,0.0,0.0,0.0,0.002857142857142857,0.025714285714285717
fixed_policy,0.42857142857142855,0.0,0.42857142857142855,0.5714285714285714,0.0,1.0714285714285714
detector_only,0.8571428571428571,0.0,0.0,0.14285714285714285,0.0,0.21428571428571427
