trajectory_id,policy,cumulative_action_loss,cumulative_validity_loss,cumulative_excess_validity_loss,cumulative_normalized_excess_loss,cumulative_update_cost,update_count,oracle_loss,regret,lead_time,action_accuracy,false_alarm_rate
0,oracle,0.0,216.96893770425584,0.0,0.0,0.711007887089638,5,216.96893770425584,0.0,0.0,1.0,0.0
0,controller,3.5,219.39182473956268,2.585826346170912,0.5437915544049068,0.5480685762255495,15,216.96893770425584,2.422887035306843,0.0,0.8913043478260869,0.0
0,fixed_policy,40.0,320.8276204745373,104.56969065737145,23.228404737149496,0.0,0,216.96893770425584,103.85868277028146,-26.0,0.13043478260869565,0.0
0,deploy_only,45.0,219.70344158902253,2.8517198183261465,0.6153202573449715,0.5937919535301994,20,216.96893770425584,2.7345038847666956,-26.0,0.4782608695652174,0.0
0,detector_only,9.0,263.20764578092854,46.59032813376248,8.875236884014624,0.3593878299998922,4,216.96893770425584,46.23870807667271,0.0,0.8695652173913043,0.0
1,oracle,0.0,216.96893770425584,0.0,0.0,0.711007887089638,5,216.96893770425584,0.0,0.0,1.0,0.0
1,controller,2.5,219.33894695816542,2.541947662675516,0.5341590132900961,0.5390694783237767,14,216.96893770425584,2.3700092539095863,16.0,0.9565217391304348,0.021739130434782608
1,fixed_policy,40.0,320.8276204745373,104.56969065737145,23.228404737149496,0.0,0,216.96893770425584,103.85868277028146,-26.0,0.13043478260869565,0.0
1,deploy_only,45.0,219.67307624720956,2.8110188570551573,0.606054248883267,0.6041275729882073,21,216.96893770425584,2.7041385429537286,-26.0,0.4782608695652174,0.0
1,detector_only,11.0,232.42822658712782,15.798060245215867,3.0402211288430885,0.37223652474571783,5,216.96893770425584,15.459288882871988,16.0,0.8478260869565217,0.021739130434782608
2,oracle,0.0,216.96893770425584,0.0,0.0,0.711007887089638,5,216.96893770425584,0.0,0.0,1.0,0.0
2,controller,1.5,219.38445680739443,2.568109806945447,0.5398692302340777,0.5584171832828648,16,216.96893770425584,2.4155191031385925,0.0,0.9347826086956522,0.0
2,fixed_policy,40.0,320.8276204745373,104.56969065737145,23.228404737149496,0.0,0,216.96893770425584,103.85868277028146,-26.0,0.13043478260869565,0.0
