L,n,rmse_h_gap,mean_abs_q_gap,variance_ratio
10,200,0.0008053620523520656,0.16704482741432436,0.9970875142908125
10,1000,0.00019644822489211657,0.08517489360241676,1.010236406397609
20,200,0.00023472572384354456,0.19567509300685532,0.9969944557212159
20,1000,5.052426794096898e-05,0.08418849737201839,0.997617845137758
