n,c,kappa,empirical_power
200,0.5,0.007905694150420948,0.165
200,1.0,0.015811388300841896,0.685
200,2.0,0.03162277660168379,0.995
200,3.0,0.04743416490252569,1.0
1000,0.5,0.0035355339059327377,0.135
1000,1.0,0.007071067811865475,0.59
1000,2.0,0.01414213562373095,0.995
1000,3.0,0.021213203435596427,1.0
