n,rmse_h,scaled_constant,oracle_scaled_constant
200,0.008735272540868911,3.333684168427976,3.327092248302298
500,0.005688647838008097,3.4326304171047273,3.434783362454131
1000,0.004032009123302766,3.440760955472878,3.436669344006048
