a,H,V
0.325419,0.25419,1.984917
0.329609,0.25419,1.983334
0.333799,0.25419,1.981697
0.337989,0.25419,1.980008
0.342179,0.25419,1.978271
0.346369,0.25419,1.976487
0.350559,0.25419,1.97466
0.354749,0.25419,1.972791
0.358939,0.25419,1.970883
0.363128,0.25419,1.968938
0.367318,0.25419,1.966958
0.371508,0.25419,1.964946
0.375698,0.25419,1.962902
0.379888,0.25419,1.960829
0.384078,0.25419,1.958728
0.388268,0.25419,1.956602
0.392458,0.25419,1.954452
0.396648,0.25419,1.952278
0.400838,0.25419,1.950084
0.405028,0.25419,1.947869
0.409218,0.25419,1.945636
0.413408,0.25419,1.943386
0.417598,0.25419,1.941119
0.421788,0.25419,1.938838
0.425978,0.25419,1.936542
0.430168,0.25419,1.934234
0.434358,0.25419,1.931915
0.438547,0.25419,1.929584
0.442737,0.25419,1.927244
0.446927,0.25419,1.924895
0.451117,0.25419,1.922537
0.455307,0.25419,1.920172
0.459497,0.25419,1.917801
0.463687,0.25419,1.915424
0.467877,0.25419,1.913042
0.472067,0.25419,1.910656
0.476257,0.25419,1.908266
0.480447,0.25419,1.905873
0.484637,0.25419,1.903477
0.488827,0.25419,1.90108
0.493017,0.25419,1.898681
0.497207,0.25419,1.896281
0.501397,0.25419,1.893881
0.505587,0.25419,1.891481
0.509777,0.25419,1.889082
0.513966,0.25419,1.886684
0.518156,0.25419,1.884287
0.522346,0.25419,1.881892
0.526536,0.25419,1.879499
0.530726,0.25419,1.877109
0.534916,0.25419,1.874721
0.539106,0.25419,1.872337
0.543296,0.25419,1.869957
0.547486,0.25419,1.86758
0.551676,0.25419,1.865208
0.555866,0.25419,1.86284
0.560056,0.25419,1.860476
0.564246,0.25419,1.858118
0.568436,0.25419,1.855765
0.572626,0.25419,1.853417
0.576816,0.25419,1.851075
0.581006,0.25419,1.848738
0.585196,0.25419,1.846408
0.589385,0.25419,1.844083
0.593575,0.25419,1.841766
0.597765,0.25419,1.839454
0.601955,0.25419,1.837149
0.606145,0.25419,1.834852
0.610335,0.25419,1.832561
0.614525,0.25419,1.830277
0.618715,0.25419,1.828
0.622905,0.25419,1.825731
0.627095,0.25419,1.823469
0.631285,0.25419,1.821215
0.635475,0.25419,1.818969
0.639665,0.25419,1.81673
0.643855,0.25419,1.814499
0.648045,0.25419,1.812276
0.652235,0.25419,1.810061
0.656425,0.25419,1.807854
0.660615,0.25419,1.805655
0.664804,0.25419,1.803464
0.668994,0.25419,1.801282
0.673184,0.25419,1.799108
0.677374,0.25419,1.796942
0.681564,0.25419,1.794785
0.685754,0.25419,1.792636
0.689944,0.25419,1.790495
0.694134,0.25419,1.788363
0.698324,0.25419,1.78624
0.702514,0.25419,1.784125
0.706704,0.25419,1.782019
0.710894,0.25419,1.779922
0.715084,0.25419,1.777833
0.719274,0.25419,1.775752
0.723464,0.25419,1.773681
0.727654,0.25419,1.771618
0.731844,0.25419,1.769564
0.736034,0.25419,1.767518
0.740223,0.25419,1.765481
0.744413,0.25419,1.763453
0.748603,0.25419,1.761434
0.752793,0.25419,1.759423
0.756983,0.25419,1.757421
0.761173,0.25419,1.755428
0.765363,0.25419,1.753443
0.769553,0.25419,1.751467
0.773743,0.25419,1.7495
0.777933,0.25419,1.747541
0.782123,0.25419,1.745591
0.786313,0.25419,1.74365
0.790503,0.25419,1.741717
0.794693,0.25419,1.739793
0.798883,0.25419,1.737878
0.803073,0.25419,1.735971
0.807263,0.25419,1.734072
0.811453,0.25419,1.732182
0.815642,0.25419,1.730301
0.819832,0.25419,1.728428
0.824022,0.25419,1.726563
0.828212,0.25419,1.724707
0.832402,0.25419,1.722859
0.836592,0.25419,1.72102
0.840782,0.25419,1.719189
0.844972,0.25419,1.717366
0.849162,0.25419,1.715552
0.853352,0.25419,1.713746
0.857542,0.25419,1.711948
0.861732,0.25419,1.710158
0.865922,0.25419,1.708376
0.870112,0.25419,1.706603
0.874302,0.25419,1.704837
0.878492,0.25419,1.70308
0.882682,0.25419,1.701331
0.886872,0.25419,1.69959
0.891061,0.25419,1.697856
0.895251,0.25419,1.696131
0.899441,0.25419,1.694414
0.903631,0.25419,1.692704
0.907821,0.25419,1.691002
0.912011,0.25419,1.689308
0.916201,0.25419,1.687622
0.920391,0.25419,1.685943
0.924581,0.25419,1.684273
0.928771,0.25419,1.682609
0.932961,0.25419,1.680954
0.937151,0.25419,1.679306
0.941341,0.25419,1.677665
0.945531,0.25419,1.676032
0.949721,0.25419,1.674407
0.953911,0.25419,1.672789
0.958101,0.25419,1.671178
0.962291,0.25419,1.669575
0.96648,0.25419,1.667979
0.97067,0.25419,1.66639
0.97486,0.25419,1.664809
0.97905,0.25419,1.663235
0.98324,0.25419,1.661668
0.98743,0.25419,1.660108
0.99162,0.25419,1.658555
0.99581,0.25419,1.657009
1.0,0.25419,1.65547
0.25,0.25838,1.999728
0.25419,0.25838,1.999933
0.25838,0.25838,2.0
0.26257,0.25838,1.999935
0.26676,0.25838,1.999745
0.27095,0.25838,1.999436
0.27514,0.25838,1.999013
0.27933,0.25838,1.998482
0.28352,0.25838,1.997848
0.287709,0.25838,1.997116
0.291899,0.25838,1.996291
0.296089,0.25838,1.995376
0.300279,0.25838,1.994378
0.304469,0.25838,1.993298
0.308659,0.25838,1.992143
0.312849,0.25838,1.990914
0.317039,0.25838,1.989617
0.321229,0.25838,1.988254
0.325419,0.25838,1.986828
0.329609,0.25838,1.985343
0.333799,0.25838,1.983802
0.337989,0.25838,1.982207
0.342179,0.25838,1.980561
0.346369,0.25838,1.978868
0.350559,0.25838,1.977129
