sample_age,mu_plus,mu_minus
2.392786,0.202405,-0.202405
2.40481,0.198397,-0.198397
2.416834,0.194389,-0.194389
2.428858,0.190381,-0.190381
2.440882,0.186373,-0.186373
2.452906,0.182365,-0.182365
2.46493,0.178357,-0.178357
2.476954,0.174349,-0.174349
2.488978,0.170341,-0.170341
2.501002,0.166333,-0.166333
2.513026,0.162325,-0.162325
2.52505,0.158317,-0.158317
2.537074,0.154309,-0.154309
2.549098,0.150301,-0.150301
2.561122,0.146293,-0.146293
2.573146,0.142285,-0.142285
2.58517,0.138277,-0.138277
2.597194,0.134269,-0.134269
2.609218,0.130261,-0.130261
2.621242,0.126253,-0.126253
2.633267,0.122244,-0.122244
2.645291,0.118236,-0.118236
2.657315,0.114228,-0.114228
2.669339,0.11022,-0.11022
2.681363,0.106212,-0.106212
2.693387,0.102204,-0.102204
2.705411,0.098196,-0.098196
2.717435,0.094188,-0.094188
2.729459,0.09018,-0.09018
2.741483,0.086172,-0.086172
2.753507,0.082164,-0.082164
2.765531,0.078156,-0.078156
2.777555,0.074148,-0.074148
2.789579,0.07014,-0.07014
2.801603,0.066132,-0.066132
2.813627,0.062124,-0.062124
2.825651,0.058116,-0.058116
2.837675,0.054108,-0.054108
2.849699,0.0501,-0.0501
2.861723,0.046092,-0.046092
2.873747,0.042084,-0.042084
2.885772,0.038076,-0.038076
2.897796,0.034068,-0.034068
2.90982,0.03006,-0.03006
2.921844,0.026052,-0.026052
2.933868,0.022044,-0.022044
2.945892,0.018036,-0.018036
2.957916,0.014028,-0.014028
2.96994,0.01002,-0.01002
2.981964,0.006012,-0.006012
2.993988,0.002004,-0.002004
3.006012,0.0,-0.0
3.018036,0.0,-0.0
3.03006,0.0,-0.0
3.042084,0.0,-0.0
3.054108,0.0,-0.0
3.066132,0.0,-0.0
3.078156,0.0,-0.0
3.09018,0.0,-0.0
3.102204,0.0,-0.0
3.114228,0.0,-0.0
3.126253,0.0,-0.0
3.138277,0.0,-0.0
3.150301,0.0,-0.0
3.162325,0.0,-0.0
3.174349,0.0,-0.0
3.186373,0.0,-0.0
3.198397,0.0,-0.0
3.210421,0.0,-0.0
3.222445,0.0,-0.0
3.234469,0.0,-0.0
3.246493,0.0,-0.0
3.258517,0.0,-0.0
3.270541,0.0,-0.0
3.282565,0.0,-0.0
3.294589,0.0,-0.0
3.306613,0.0,-0.0
3.318637,0.0,-0.0
3.330661,0.0,-0.0
3.342685,0.0,-0.0
3.354709,0.0,-0.0
3.366733,0.0,-0.0
3.378758,0.0,-0.0
3.390782,0.0,-0.0
3.402806,0.0,-0.0
3.41483,0.0,-0.0
3.426854,0.0,-0.0
3.438878,0.0,-0.0
3.450902,0.0,-0.0
3.462926,0.0,-0.0
3.47495,0.0,-0.0
3.486974,0.0,-0.0
3.498998,0.0,-0.0
3.511022,0.0,-0.0
3.523046,0.0,-0.0
3.53507,0.0,-0.0
3.547094,0.0,-0.0
3.559118,0.0,-0.0
3.571142,0.0,-0.0
3.583166,0.0,-0.0
3.59519,0.0,-0.0
3.607214,0.0,-0.0
3.619238,0.0,-0.0
3.631263,0.0,-0.0
3.643287,0.0,-0.0
3.655311,0.0,-0.0
3.667335,0.0,-0.0
3.679359,0.0,-0.0
3.691383,0.0,-0.0
3.703407,0.0,-0.0
3.715431,0.0,-0.0
3.727455,0.0,-0.0
3.739479,0.0,-0.0
3.751503,0.0,-0.0
3.763527,0.0,-0.0
3.775551,0.0,-0.0
3.787575,0.0,-0.0
3.799599,0.0,-0.0
3.811623,0.0,-0.0
3.823647,0.0,-0.0
3.835671,0.0,-0.0
3.847695,0.0,-0.0
3.859719,0.0,-0.0
3.871743,0.0,-0.0
3.883768,0.0,-0.0
3.895792,0.0,-0.0
3.907816,0.0,-0.0
3.91984,0.0,-0.0
3.931864,0.0,-0.0
3.943888,0.0,-0.0
3.955912,0.0,-0.0
3.967936,0.0,-0.0
3.97996,0.0,-0.0
3.991984,0.0,-0.0
4.004008,0.0,-0.0
4.016032,0.0,-0.0
4.028056,0.0,-0.0
4.04008,0.0,-0.0
4.052104,0.0,-0.0
4.064128,0.0,-0.0
4.076152,0.0,-0.0
4.088176,0.0,-0.0
4.1002,0.0,-0.0
4.112224,0.0,-0.0
4.124248,0.0,-0.0
4.136273,0.0,-0.0
4.148297,0.0,-0.0
4.160321,0.0,-0.0
4.172345,0.0,-0.0
4.184369,0.0,-0.0
4.196393,0.0,-0.0
4.208417,0.0,-0.0
4.220441,0.0,-0.0
4.232465,0.0,-0.0
4.244489,0.0,-0.0
4.256513,0.0,-0.0
4.268537,0.0,-0.0
4.280561,0.0,-0.0
4.292585,0.0,-0.0
4.304609,0.0,-0.0
4.316633,0.0,-0.0
4.328657,0.0,-0.0
4.340681,0.0,-0.0
4.352705,0.0,-0.0
4.364729,0.0,-0.0
4.376754,0.0,-0.0
4.388778,0.0,-0.0
4.400802,0.0,-0.0
4.412826,0.0,-0.0
4.42485,0.0,-0.0
4.436874,0.0,-0.0
4.448898,0.0,-0.0
4.460922,0.0,-0.0
4.472946,0.0,-0.0
4.48497,0.0,-0.0
4.496994,0.0,-0.0
4.509018,0.0,-0.0
4.521042,0.0,-0.0
4.533066,0.0,-0.0
4.54509,0.0,-0.0
4.557114,0.0,-0.0
4.569138,0.0,-0.0
4.581162,0.0,-0.0
4.593186,0.0,-0.0
4.60521,0.0,-0.0
4.617234,0.0,-0.0
4.629259,0.0,-0.0
4.641283,0.0,-0.0
4.653307,0.0,-0.0
4.665331,0.0,-0.0
4.677355,0.0,-0.0
4.689379,0.0,-0.0
4.701403,0.0,-0.0
4.713427,0.0,-0.0
4.725451,0.0,-0.0
4.737475,0.0,-0.0
4.749499,0.0,-0.0
4.761523,0.0,-0.0
4.773547,0.0,-0.0
4.785571,0.0,-0.0
4.797595,0.0,-0.0
4.809619,0.0,-0.0
4.821643,0.0,-0.0
4.833667,0.0,-0.0
4.845691,0.0,-0.0
4.857715,0.0,-0.0
4.869739,0.0,-0.0
4.881764,0.0,-0.0
4.893788,0.0,-0.0
4.905812,0.0,-0.0
4.917836,0.0,-0.0
4.92986,0.0,-0.0
4.941884,0.0,-0.0
4.953908,0.0,-0.0
4.965932,0.0,-0.0
4.977956,0.0,-0.0
4.98998,0.0,-0.0
5.002004,0.0,-0.0
5.014028,0.0,-0.0
5.026052,0.0,-0.0
5.038076,0.0,-0.0
5.0501,0.0,-0.0
5.062124,0.0,-0.0
5.074148,0.0,-0.0
5.086172,0.0,-0.0
5.098196,0.0,-0.0
5.11022,0.0,-0.0
5.122244,0.0,-0.0
5.134269,0.0,-0.0
5.146293,0.0,-0.0
5.158317,0.0,-0.0
5.170341,0.0,-0.0
5.182365,0.0,-0.0
5.194389,0.0,-0.0
5.206413,0.0,-0.0
5.218437,0.0,-0.0
5.230461,0.0,-0.0
5.242485,0.0,-0.0
5.254509,0.0,-0.0
5.266533,0.0,-0.0
5.278557,0.0,-0.0
5.290581,0.0,-0.0
5.302605,0.0,-0.0
5.314629,0.0,-0.0
5.326653,0.0,-0.0
5.338677,0.0,-0.0
5.350701,0.0,-0.0
5.362725,0.0,-0.0
5.374749,0.0,-0.0
5.386774,0.0,-0.0
5.398798,0.0,-0.0
5.410822,0.0,-0.0
5.422846,0.0,-0.0
5.43487,0.0,-0.0
5.446894,0.0,-0.0
5.458918,0.0,-0.0
5.470942,0.0,-0.0
5.482966,0.0,-0.0
5.49499,0.0,-0.0
5.507014,0.0,-0.0
5.519038,0.0,-0.0
5.531062,0.0,-0.0
5.543086,0.0,-0.0
5.55511,0.0,-0.0
5.567134,0.0,-0.0
5.579158,0.0,-0.0
5.591182,0.0,-0.0
5.603206,0.0,-0.0
5.61523,0.0,-0.0
5.627255,0.0,-0.0
5.639279,0.0,-0.0
5.651303,0.0,-0.0
5.663327,0.0,-0.0
5.675351,0.0,-0.0
5.687375,0.0,-0.0
5.699399,0.0,-0.0
5.711423,0.0,-0.0
5.723447,0.0,-0.0
5.735471,0.0,-0.0
5.747495,0.0,-0.0
5.759519,0.0,-0.0
5.771543,0.0,-0.0
5.783567,0.0,-0.0
5.795591,0.0,-0.0
5.807615,0.0,-0.0
5.819639,0.0,-0.0
5.831663,0.0,-0.0
5.843687,0.0,-0.0
5.855711,0.0,-0.0
5.867735,0.0,-0.0
5.87976,0.0,-0.0
5.891784,0.0,-0.0
5.903808,0.0,-0.0
5.915832,0.0,-0.0
5.927856,0.0,-0.0
5.93988,0.0,-0.0
5.951904,0.0,-0.0
5.963928,0.0,-0.0
5.975952,0.0,-0.0
5.987976,0.0,-0.0
6.0,0.0,-0.0
