normalized_horizon,variance_cost_over_Emin,staleness_cost_over_Emin,total_error_over_Emin
2.410521,0.429391,0.803507,1.232898
2.415832,0.428919,0.805277,1.234196
2.421142,0.428448,0.807047,1.235496
2.426453,0.427979,0.808818,1.236797
2.431764,0.427512,0.810588,1.2381
2.437074,0.427046,0.812358,1.239404
2.442385,0.426581,0.814128,1.240709
2.447695,0.426118,0.815898,1.242017
2.453006,0.425657,0.817669,1.243325
2.458317,0.425197,0.819439,1.244636
2.463627,0.424738,0.821209,1.245947
2.468938,0.424281,0.822979,1.24726
2.474248,0.423826,0.824749,1.248575
2.479559,0.423371,0.82652,1.249891
2.48487,0.422919,0.82829,1.251209
2.49018,0.422468,0.83006,1.252528
2.495491,0.422018,0.83183,1.253848
2.500802,0.421569,0.833601,1.25517
2.506112,0.421123,0.835371,1.256493
2.511423,0.420677,0.837141,1.257818
2.516733,0.420233,0.838911,1.259144
2.522044,0.41979,0.840681,1.260472
2.527355,0.419349,0.842452,1.261801
2.532665,0.418909,0.844222,1.263131
2.537976,0.418471,0.845992,1.264463
2.543287,0.418034,0.847762,1.265796
2.548597,0.417598,0.849532,1.26713
2.553908,0.417163,0.851303,1.268466
2.559218,0.41673,0.853073,1.269803
2.564529,0.416299,0.854843,1.271142
2.56984,0.415868,0.856613,1.272481
2.57515,0.415439,0.858383,1.273823
2.580461,0.415011,0.860154,1.275165
2.585772,0.414585,0.861924,1.276509
2.591082,0.41416,0.863694,1.277854
2.596393,0.413736,0.865464,1.2792
2.601703,0.413314,0.867234,1.280548
2.607014,0.412893,0.869005,1.281897
2.612325,0.412473,0.870775,1.283248
2.617635,0.412054,0.872545,1.284599
2.622946,0.411637,0.874315,1.285952
2.628257,0.411221,0.876086,1.287306
2.633567,0.410806,0.877856,1.288661
2.638878,0.410392,0.879626,1.290018
2.644188,0.40998,0.881396,1.291376
2.649499,0.409569,0.883166,1.292735
2.65481,0.409159,0.884937,1.294095
2.66012,0.40875,0.886707,1.295457
2.665431,0.408343,0.888477,1.29682
2.670741,0.407937,0.890247,1.298184
2.676052,0.407532,0.892017,1.299549
2.681363,0.407128,0.893788,1.300916
2.686673,0.406725,0.895558,1.302283
2.691984,0.406324,0.897328,1.303652
2.697295,0.405924,0.899098,1.305022
2.702605,0.405525,0.900868,1.306393
2.707916,0.405127,0.902639,1.307766
2.713226,0.40473,0.904409,1.309139
2.718537,0.404335,0.906179,1.310514
2.723848,0.40394,0.907949,1.31189
2.729158,0.403547,0.909719,1.313267
2.734469,0.403155,0.91149,1.314645
2.73978,0.402764,0.91326,1.316024
2.74509,0.402374,0.91503,1.317405
2.750401,0.401986,0.9168,1.318786
2.755711,0.401598,0.91857,1.320169
2.761022,0.401212,0.920341,1.321553
2.766333,0.400827,0.922111,1.322937
2.771643,0.400442,0.923881,1.324324
2.776954,0.400059,0.925651,1.325711
2.782265,0.399677,0.927422,1.327099
2.787575,0.399296,0.929192,1.328488
2.792886,0.398917,0.930962,1.329879
2.798196,0.398538,0.932732,1.33127
2.803507,0.39816,0.934502,1.332663
2.808818,0.397784,0.936273,1.334056
2.814128,0.397408,0.938043,1.335451
2.819439,0.397034,0.939813,1.336847
2.824749,0.39666,0.941583,1.338243
2.83006,0.396288,0.943353,1.339641
2.835371,0.395917,0.945124,1.34104
2.840681,0.395546,0.946894,1.34244
2.845992,0.395177,0.948664,1.343841
2.851303,0.394809,0.950434,1.345243
2.856613,0.394442,0.952204,1.346646
2.861924,0.394076,0.953975,1.34805
2.867234,0.393711,0.955745,1.349455
2.872545,0.393347,0.957515,1.350862
2.877856,0.392983,0.959285,1.352269
2.883166,0.392621,0.961055,1.353677
2.888477,0.39226,0.962826,1.355086
2.893788,0.3919,0.964596,1.356496
2.899098,0.391541,0.966366,1.357907
2.904409,0.391183,0.968136,1.359319
2.909719,0.390826,0.969906,1.360732
2.91503,0.39047,0.971677,1.362146
2.920341,0.390114,0.973447,1.363561
2.925651,0.38976,0.975217,1.364977
2.930962,0.389407,0.976987,1.366394
2.936273,0.389055,0.978758,1.367812
2.941583,0.388703,0.980528,1.369231
2.946894,0.388353,0.982298,1.370651
2.952204,0.388003,0.984068,1.372072
2.957515,0.387655,0.985838,1.373493
2.962826,0.387307,0.987609,1.374916
2.968136,0.386961,0.989379,1.376339
2.973447,0.386615,0.991149,1.377764
2.978758,0.38627,0.992919,1.379189
2.984068,0.385926,0.994689,1.380616
2.989379,0.385583,0.99646,1.382043
2.994689,0.385241,0.99823,1.383471
3.0,0.3849,1.0,1.3849
