label,a,zeta,n_star,risk_star
canonical / parametric,0.5,0.001,99.99999999999997,0.10000000000000002
canonical / parametric,0.5,0.0010234114021054528,98.46906915889079,0.10077436813191926
canonical / parametric,0.5,0.0010473708979594498,96.96157581018414,0.10155473272387586
canonical / parametric,0.5,0.0010718913192051276,95.47716114208058,0.10234114021054533
canonical / parametric,0.5,0.001096985797892384,94.01547183594089,0.10313363738617862
canonical / parametric,0.5,0.0011226677735108135,92.57615998219016,0.10393227140738633
canonical / parametric,0.5,0.0011489510001873086,91.15888299750821,0.10473708979594495
canonical / parametric,0.5,0.0011758495540521569,89.76330354328867,0.10554814044162443
canonical / parametric,0.5,0.0012033778407775893,88.38908944534602,0.10636547160503775
canonical / parametric,0.5,0.0012315506032928262,87.03591361485158,0.1071891319205128
canonical / parametric,0.5,0.0012603829296797275,85.70345397048067,0.10801917039898613
canonical / parametric,0.5,0.001289890261253308,84.39139336175077,0.10885563643091943
canonical / parametric,0.5,0.001320088400831418,83.0994194935339,0.10969857978923839
canonical / parametric,0.5,0.0013509935211980266,81.8272248517247,0.11054805063229425
canonical / parametric,0.5,0.0013826221737646563,80.57450663004583,0.11140409950684872
canonical / parametric,0.5,0.0014149912974345759,79.3409666579749,0.11226677735108137
canonical / parametric,0.5,0.001448118227674533,78.12631132977381,0.11313613549762087
canonical / parametric,0.5,0.0014820207057988585,76.93025153460528,0.11401222567659947
canonical / parametric,0.5,0.0015167168884709225,75.75250258771914,0.1148951000187309
canonical / parametric,0.5,0.001552225357427048,74.59278416269166,0.11578481105841275
canonical / parametric,0.5,0.0015885651294280528,73.45082022470301,0.11668141173685201
canonical / parametric,0.5,0.0016257556664437934,72.32633896483537,0.11758495540521567
canonical / parametric,0.5,0.001663816886076129,71.2190727353775,0.11849549582780515
canonical / parametric,0.5,0.0017027691722258996,70.12875798611961,0.11941308718525538
canonical / parametric,0.5,0.0017426333860096508,69.05513520162324,0.12033778407775898
canonical / parametric,0.5,0.0017834308769319094,67.99794883945195,0.12126964152831494
canonical / parametric,0.5,0.0018251834943190425,66.95694726934714,0.12220871498600291
canonical / parametric,0.5,0.0018679135990207828,65.93188271333544,0.12315506032928258
canonical / parametric,0.5,0.0019116440753857017,64.92251118675307,0.12410873386931848
canonical / parametric,0.5,0.001956398343517065,63.92859244017246,0.125069792353331
canonical / parametric,0.5,0.0020022003718155844,62.949889902218864,0.12603829296797275
canonical / parametric,0.5,0.002049074689815846,61.98617062326152,0.12701429334273176
canonical / parametric,0.5,0.002097046401323233,61.03720521996741,0.12799785155336035
canonical / parametric,0.5,0.0021461411978584036,60.102767820703825,0.12898902612533086
canonical / parametric,0.5,0.002196385372416547,59.18263601177638,0.12998787603731846
canonical / parametric,0.5,0.002247805833548725,58.276590784490715,0.13099446072471016
canonical / parametric,0.5,0.002300430119772917,57.384416483023955,0.1320088400831418
canonical / parametric,0.5,0.0023542864143224177,56.505900753094764,0.13303107447206192
canonical / parametric,0.5,0.0024094035602395245,55.640834491419085,0.13406122471832332
canonical / parametric,0.5,0.002465811075822604,54.7890117959394,0.1350993521198027
canonical / parametric,0.5,0.0025235391704347657,53.95022991681642,0.13614551844904782
canonical / parametric,0.5,0.002582618760682675,53.12428920817056,0.1371997859569535
canonical / parametric,0.5,0.0026430814869741054,52.31099308056261,0.1382622173764656
canonical / parametric,0.5,0.0027049597304631343,51.510147954201784,0.13933287592631388
canonical / parametric,0.5,0.0027682866303920667,50.7215632128699,0.14041182531477386
canonical / parametric,0.5,0.002833096101839324,49.945051158551394,0.1414991297434576
canonical / parametric,0.5,0.002899422853882875,49.180426966757366,0.142594853911134
canonical / parametric,0.5,0.0029673024081888696,48.427508642534065,0.14369906301757868
canonical / parametric,0.5,0.0030367711180354575,47.6861169771447,0.14481182276745336
canonical / parametric,0.5,0.003107866187782014,46.95607550541416,0.14593319937421595
canonical / parametric,0.5,0.0031806256927941192,46.23721046372726,0.14706325956406005
canonical / parametric,0.5,0.0032550885998350564,45.5293507486695,0.14820207057988583
canonical / parametric,0.5,0.0033312947879346735,44.83232787630131,0.14934970018530097
canonical / parametric,0.5,0.003409285069746811,44.14597594205583,0.15050621666865288
canonical / parametric,0.5,0.0034891012134067737,43.47013158125023,0.1516716888470923
canonical / parametric,0.5,0.003570785964900463,42.80463393020212,0.1528461860706679
canonical / parametric,0.5,0.0036543830709572546,42.149324587940775,0.15402977822645317
canonical / parametric,0.5,0.0037399373024787977,41.504047578504746,0.15522253574270475
canonical / parametric,0.5,0.003827494478516311,40.86864931381678,0.15642452959305322
canonical / parametric,0.5,0.0039171014908092605,40.24297855712678,0.15763583130072648
canonical / parametric,0.5,0.004008806328898464,39.62688638701478,0.15885651294280528
canonical / parametric,0.5,0.00410265810582719,39.02022616194467,0.16008664715451254
canonical / parametric,0.5,0.00419870708444391,38.42285348536088,0.16132630713353516
canonical / parametric,0.5,0.00429700470432084,37.83462617131929,0.16257556664437942
canonical / parametric,0.5,0.004397603609302721,37.25540421064418,0.16383450002276068
canonical / parametric,0.5,0.004500557675700498,36.685049737603535,0.16510318218002618
canonical / parametric,0.5,0.004605922041145104,36.12342699709432,0.16638168860761288
canonical / parametric,0.5,0.004713753134116724,35.570402312330216,0.1676700953815394
canonical / parametric,0.5,0.004824108704165369,35.025844053024144,0.16896847916693264
canonical / parametric,0.5,0.004937047852839003,34.48962260405757,0.17027691722259003
canonical / parametric,0.5,0.00505263106533568,33.96161033462989,0.17159548740557629
canonical / parametric,0.5,0.0051709202428967555,33.44168156787971,0.17292426817585657
canonical / parametric,0.5,0.005291978735958442,32.929712550971495,0.17426333860096505
canonical / parametric,0.5,0.0054158713780794706,32.425581425640075,0.17561277836070943
canonical / parametric,0.5,0.005542664520663107,31.929168199185956,0.1769726677519128
canonical / parametric,0.5,0.005672426068491977,31.440354715914996,0.17834308769319096
canonical / parametric,0.5,0.005805225516094896,30.959024629014927,0.17972411972976782
canonical / parametric,0.5,0.0059411339849650335,30.48506337286273,0.1811158460383276
canonical / parametric,0.5,0.006080224261649427,30.018358135755875,0.1825183494319044
canonical / parametric,0.5,0.006222570836730231,29.558797833060982,0.18393171336481007
canonical / parametric,0.5,0.006368249944718587,29.106273080773537,0.1853560219376002
canonical / parametric,0.5,0.00651733960488242,28.660676169482517,0.18679135990207824
canonical / parametric,0.5,0.006669919663030122,28.22190103873346,0.18823781266633857
canonical / parametric,0.5,0.006826071834272393,27.78984325178416,0.18969546629984863
canonical / parametric,0.5,0.0069858797467852495,27.364399970746696,0.19116440753857025
canonical / parametric,0.5,0.007149428986597577,26.94546993211006,0.19264472379012118
canonical / parametric,0.5,0.007316807143427192,26.53295342263759,0.19413650313897574
canonical / parametric,0.5,0.007488103857590023,26.126752255633278,0.19563983435170643
canonical / parametric,0.5,0.007663410868007463,25.72676974757158,0.19715480688226572
canonical / parametric,0.5,0.007842822061337682,25.33291069508486,0.19868151087730893
canonical / parametric,0.5,0.008026433522257174,24.94508135230316,0.20022003718155848
canonical / parametric,0.5,0.008214343584919423,24.563189408540975,0.20177047734320933
canonical / parametric,0.5,0.008406652885618326,24.18714396632554,0.20333292361937655
canonical / parametric,0.5,0.00860346441668451,23.816855519761567,0.20490746898158477
canonical / parametric,0.5,0.008804883581643464,23.45223593322713,0.20649420712130045
canonical / parametric,0.5,0.009011018251665018,23.093198420395666,0.20809323245550715
canonical / parametric,0.5,0.009221978823334321,22.739657523579286,0.20970464013232323
canonical / parametric,0.5,0.009437878277775381,22.391529093388193,0.21132852603666394
canonical / parametric,0.5,0.009658832241158708,22.04873026870156,0.2129649867959466
canonical / parametric,0.5,0.009884959046625586,21.711179456945036,0.21461411978584044
canonical / parametric,0.5,0.01011637979766207,21.3787963146701,0.216276023136061
canonical / parametric,0.5,0.010353218432956621,21.051501728430896,0.21795079573620899
