scenario,seed,n_star_true,n_hat_ucurve,n_hat_param,abs_err_ucurve,abs_err_param,rel_err_ucurve,rel_err_param,coverage_ucurve,coverage_param
sinusoidal,49,12.0,14.0,9.600169354801222,2.0,2.3998306451987776,0.16666666666666666,0.19998588709989815,1.0,1.0
sinusoidal,50,12.0,5.0,9.83331875644326,7.0,2.1666812435567397,0.5833333333333334,0.18055677029639497,1.0,1.0
sinusoidal,51,12.0,5.0,9.647451909552796,7.0,2.352548090447204,0.5833333333333334,0.19604567420393368,1.0,1.0
sinusoidal,52,12.0,5.0,9.533434142411506,7.0,2.4665658575884937,0.5833333333333334,0.20554715479904115,1.0,1.0
sinusoidal,53,12.0,5.0,9.386066128685812,7.0,2.613933871314188,0.5833333333333334,0.2178278226095157,1.0,1.0
sinusoidal,54,12.0,5.0,9.4523004784504,7.0,2.5476995215495997,0.5833333333333334,0.21230829346246663,1.0,1.0
sinusoidal,55,12.0,5.0,9.590692778793052,7.0,2.409307221206948,0.5833333333333334,0.20077560176724565,1.0,1.0
sinusoidal,56,12.0,5.0,9.401065945149359,7.0,2.598934054850641,0.5833333333333334,0.2165778379042201,1.0,1.0
sinusoidal,57,12.0,5.0,9.412105102615598,7.0,2.587894897384402,0.5833333333333334,0.2156579081153668,1.0,1.0
sinusoidal,58,12.0,5.0,10.006099368235056,7.0,1.9939006317649444,0.5833333333333334,0.16615838598041202,1.0,1.0
sinusoidal,59,12.0,5.0,9.38225698289315,7.0,2.61774301710685,0.5833333333333334,0.21814525142557084,1.0,1.0
sinusoidal,60,12.0,5.0,9.391140466609357,7.0,2.6088595333906426,0.5833333333333334,0.2174049611158869,1.0,1.0
sinusoidal,61,12.0,5.0,9.614861770750439,7.0,2.385138229249561,0.5833333333333334,0.1987615191041301,1.0,1.0
sinusoidal,62,12.0,5.0,10.10465595876289,7.0,1.8953440412371094,0.5833333333333334,0.1579453367697591,1.0,1.0
sinusoidal,63,12.0,5.0,9.047137342674068,7.0,2.952862657325932,0.5833333333333334,0.24607188811049432,1.0,1.0
sinusoidal,64,12.0,5.0,9.765325625001017,7.0,2.234674374998983,0.5833333333333334,0.18622286458324858,1.0,1.0
sinusoidal,65,12.0,5.0,9.742366895051573,7.0,2.257633104948427,0.5833333333333334,0.1881360920790356,1.0,1.0
sinusoidal,66,12.0,5.0,9.66944787429779,7.0,2.3305521257022104,0.5833333333333334,0.19421267714185086,1.0,1.0
sinusoidal,67,12.0,5.0,9.477852701307565,7.0,2.5221472986924347,0.5833333333333334,0.2101789415577029,1.0,1.0
