H,sigma_zeta_ratio,best_h,predicted_h,best_beta,normalized_best,exact_asymptotic_constant,current_pinsker_constant,numeric_over_exact_ratio,numeric_over_pinsker_ratio
0.35,1000.0,1519.0,1519.3104599609865,1.0,0.2635884144008853,0.26361872545115833,0.23785501906510234,0.9998850193580857,1.1081894148667917
0.35,10000.0,22810.0,22809.570940818405,1.0,0.2636167034283129,0.26361872545115833,0.23785501906510234,0.9999923297450058,1.108308348776779
0.5,1000.0,639.0,639.2426524846114,1.0,0.2602479479921309,0.26034972038447685,0.22886301598967976,0.9996090935216077,1.1371341361850549
0.5,10000.0,6392.0,6392.426524846114,1.0,0.26033953872961624,0.26034972038447685,0.22886301598967976,0.9999608923917968,1.1375343351297786
0.75,1000.0,214.0,214.56074991102278,1.0,0.2676440945061797,0.268112692945367,0.22837616979307068,0.9982522332902651,1.1719440550592004
0.75,10000.0,1354.0,1353.786809935378,1.0,0.26803842175257236,0.268112692945367,0.22837616979307068,0.9997229851672492,1.173670711771019
1.0,1000.0,98.0,98.19909958695543,1.0,0.280515665661971,0.28194711183971394,0.2348920584701318,0.9949229975494244,1.194232225171804
1.0,10000.0,456.0,455.79984411364154,1.0,0.281637737750367,0.28194711183971394,0.2348920584701318,0.9989027229705306,1.1990091942004895
