condition,mean_v_p,mean_v_a,mean_v_phi,mean_sigma_p,mean_sigma_a,mean_sigma_phi,mean_tci,mean_v_total
full,0.017,0.0,0.01,0.984,1.0,0.99,0.98,0.027
fm1,24.259,0.0,0.0,0.04,1.0,1.0,0.04,24.259
fm2,0.017,1.061,0.01,0.984,0.53,0.99,0.527,1.087
fm3,2.154,0.0,5.4,0.328,1.0,0.157,0.157,7.554
