scenario,seed,n_star_true,n_hat_ucurve,n_hat_param,abs_err_ucurve,abs_err_param,rel_err_ucurve,rel_err_param
correct,0,5.0,300.0,0.6904903996515697,295,4.309509600348431,59.0,0.8619019200696861
correct,1,5.0,300.0,1.4539668289637289,295,3.546033171036271,59.0,0.7092066342072542
correct,2,5.0,300.0,3.0801114700918895,295,1.9198885299081105,59.0,0.3839777059816221
correct,3,5.0,300.0,2.6501712342337167,295,2.3498287657662833,59.0,0.46996575315325667
correct,4,5.0,85.0,7.326772741050005,80,2.3267727410500054,16.0,0.4653545482100011
correct,5,5.0,50.0,2.9049636628759727,45,2.0950363371240273,9.0,0.41900726742480543
correct,6,5.0,300.0,2.135612683147678,295,2.864387316852322,59.0,0.5728774633704644
correct,7,5.0,300.0,0.3585108079463069,295,4.641489192053693,59.0,0.9282978384107385
correct,8,5.0,300.0,16.242926919797814,295,11.242926919797814,59.0,2.2485853839595626
correct,9,5.0,5.0,14.095526431655662,0,9.095526431655662,0.0,1.8191052863311323
correct,10,5.0,300.0,4.83309927518918,295,0.1669007248108203,59.0,0.03338014496216406
correct,11,5.0,300.0,6.354300417082214,295,1.3543004170822144,59.0,0.27086008341644285
correct,12,5.0,300.0,2.161499686937406,295,2.838500313062594,59.0,0.5677000626125188
correct,13,5.0,5.0,20.9245131228447,0,15.9245131228447,0.0,3.1849026245689402
correct,14,5.0,50.0,4.082524491017557,45,0.9174755089824433,9.0,0.18349510179648867
correct,15,5.0,300.0,0.717476194432925,295,4.282523805567075,59.0,0.8565047611134149
correct,16,5.0,300.0,7.111071656518342,295,2.111071656518342,59.0,0.42221433130366837
correct,17,5.0,45.0,12.227536178411858,40,7.227536178411858,8.0,1.4455072356823717
correct,18,5.0,300.0,1.0906510828498581,295,3.909348917150142,59.0,0.7818697834300284
correct,19,5.0,300.0,7.264111045349431,295,2.2641110453494306,59.0,0.45282220906988613
sinusoidal,0,130.0,45.0,0.6169965992047549,85,129.38300340079525,0.6538461538461539,0.9952538723138096
sinusoidal,1,130.0,144.0,1.5836783248690425,14,128.41632167513094,0.1076923076923077,0.9878178590394688
sinusoidal,2,130.0,62.0,3.5262406237499038,68,126.4737593762501,0.5230769230769231,0.9728750721250008
sinusoidal,3,130.0,130.0,3.046255378244457,0,126.95374462175555,0.0,0.9765672663211965
sinusoidal,4,130.0,85.0,13.636237290089293,45,116.3637627099107,0.34615384615384615,0.895105866999313
sinusoidal,5,130.0,50.0,2.3721153918999365,80,127.62788460810006,0.6153846153846154,0.9817529585238466
sinusoidal,6,130.0,144.0,2.8198441709388073,14,127.18015582906119,0.1076923076923077,0.9783088909927784
sinusoidal,7,130.0,300.0,0.5975835563576134,170,129.40241644364238,1.3076923076923077,0.9954032034126337
sinusoidal,8,130.0,144.0,12.142892619902788,14,117.8571073800972,0.1076923076923077,0.9065931336930554
sinusoidal,9,130.0,5.0,16.180021471683688,125,113.81997852831631,0.9615384615384616,0.8755382963716639
sinusoidal,10,130.0,5.0,6.845320636145745,125,123.15467936385426,0.9615384615384616,0.9473436874142636
sinusoidal,11,130.0,144.0,10.369174330886676,14,119.63082566911332,0.1076923076923077,0.920237120531641
sinusoidal,12,130.0,130.0,2.6634401650247077,0,127.33655983497529,0.0,0.9795119987305791
sinusoidal,13,130.0,20.0,21.18526790538977,110,108.81473209461024,0.8461538461538461,0.8370364007277711
sinusoidal,14,130.0,37.0,7.1745610113050935,93,122.82543898869491,0.7153846153846154,0.944811069143807
sinusoidal,15,130.0,300.0,0.6225384697262003,170,129.3774615302738,1.3076923076923077,0.9952112425405676
