kind,amplitude,true_n_star,mean_H_hat,bias_H,rmse_H,mean_zeta_hat,bias_zeta,rmse_zeta,mean_n_star_hat,bias_n_star,rmse_n_star,mean_residual_slope
sinusoid,0.0,0.8472606743008114,0.6005971789310315,0.0005971789310314668,0.0017519516731442184,0.9984975404965754,-0.001502459503424619,0.004745008851215139,0.8477386565805698,0.0004779822797583877,0.0016873643028751807,0.00015406130484949167
sinusoid,0.1,0.8472606743008114,0.6089544196210438,0.008954419621043836,0.00905064853146527,0.9304893011754135,-0.06951069882458658,0.06958599817829052,0.89333513620419,0.04607446190337887,0.04609133452604184,-0.04501035011997634
sinusoid,0.2,0.8472606743008114,0.6141255255075769,0.014125525507577046,0.014323708233146545,0.8698940516786351,-0.13010594832136488,0.13021545939189677,0.9423262548037057,0.09506558050289408,0.0950895768728071,-0.0860752633266735
slope_shift,0.0,0.8472606743008114,0.6009912814349795,0.000991281434979513,0.0018705875322744569,0.9972127261281095,-0.0027872738718905552,0.004868945941861441,0.8482734401964069,0.0010127658955956908,0.0016668968041587278,-0.0008272842301660066
slope_shift,0.1,0.8472606743008114,0.6774011200911315,0.07740112009113165,0.07742772896888957,0.8413659439073469,-0.15863405609265321,0.15870451691423143,0.8947743651116419,0.04751369081083064,0.04756538466011551,-0.027617253962962635
slope_shift,0.2,0.8472606743008114,0.7564406656541957,0.15644066565419568,0.15645981198991377,0.7032025738109544,-0.2967974261890455,0.29683109390254364,0.9519413393262939,0.10468066502548243,0.10471093198612609,-0.05917949675308728
