n,H,zeta,sigma0,lag_energy,information_scale,true_n_star,mean_H_hat,bias_H,rmse_H,mean_zeta_hat,bias_zeta,rmse_zeta,mean_n_star_hat,bias_n_star,rmse_n_star,mean_residual_slope
200,0.4,1.0,0.5,127.46971654717274,25493.943309434548,1.2813795605711265,0.39906723945597183,-0.00093276054402818,0.006583270564468978,1.0032263540917445,0.0032263540917445988,0.015806631583575384,1.2808445590792576,-0.0005350014918690249,0.005530524383590411,7.239307283379672e-05
200,0.8,1.0,0.5,989.4627002745545,197892.5400549109,0.6966018583810124,0.7997359180835677,-0.0002640819164323904,0.002476193469906104,1.0006247735213987,0.0006247735213986861,0.006704461985396161,0.6964071146987537,-0.00019474368225870785,0.0024296027551712666,-0.0010228335661346686
1000,0.4,1.0,0.5,127.46971654717274,127469.71654717273,1.2813795605711265,0.39915324900901566,-0.0008467509909843518,0.0027809618816818597,1.0012421198246975,0.0012421198246975519,0.006448353564559311,1.2829975387631603,0.001617978192033609,0.0029585958398808503,-0.0004938844137187818
1000,0.8,1.0,0.5,989.4627002745545,989462.7002745545,0.6966018583810124,0.8002585532381415,0.00025855323814136797,0.0012716090332626454,0.9993106768958155,-0.0006893231041844305,0.0031914753311320892,0.6968513811968562,0.0002495228158437612,0.0011186960669697093,-0.00044061248738412406
