H,sigma_zeta_ratio,best_h,predicted_h,normalized_best,current_asymptotic_constant,supplement_candidate_constant,numeric_over_current_ratio,numeric_over_supplement_ratio
0.35,1000.0,1085.0,1084.9881890634645,0.23781674238043615,0.23785501906510234,0.676547237745505,0.9998390755645324,0.3515153548966156
0.35,10000.0,16289.0,16289.044089796289,0.2378524645471909,0.23785501906510234,0.676547237745505,0.9999892601891628,0.3515681555951652
0.5,1000.0,471.0,471.40452079103176,0.22874169624542348,0.22886301598967976,0.7212905759975579,0.9994699023617615,0.31712835833057934
0.5,10000.0,4714.0,4714.045207910317,0.2288508793893047,0.22886301598967976,0.7212905759975579,0.9999469700234327,0.3172797302568383
0.75,1000.0,165.0,165.34878866657266,0.22785876560447338,0.22837616979307068,0.7984261668288156,0.9977344212880612,0.28538489226809977
0.75,10000.0,1043.0,1043.2803261007737,0.22829409626512828,0.22837616979307068,0.7984261668288156,0.9996406213134376,0.28593012823197594
1.0,1000.0,78.0,78.29735282337725,0.23339715232474226,0.2348920584701318,0.8747685833488145,0.9936357740013605,0.2668101675888319
1.0,10000.0,363.0,363.4241185664278,0.23456909596044354,0.2348920584701318,0.8747685833488145,0.9986250599028688,0.2681498860675349
