H,n,finite_n_constant,asymptotic_constant,relative_error
0.35,8.0,0.7227605282874869,0.7669649888473704,0.057635565120535595
0.35,16.0,0.7455875470063037,0.7669649888473704,0.027872774053472372
0.35,32.0,0.7564808873395443,0.7669649888473704,0.013669595953241702
0.35,64.0,0.7617825887460487,0.7669649888473704,0.006757023041051854
0.35,128.0,0.7643914831899078,0.7669649888473704,0.0033554408543865818
0.35,256.0,0.7656835389381088,0.7669649888473704,0.0016708062661209885
0.35,1024.0,0.7666459109637367,0.7669649888473704,0.0004160266612863872
0.5,8.0,0.6614378277661477,0.7071067811865475,0.06458565330651453
0.5,16.0,0.6846531968814576,0.7071067811865475,0.03175416344814568
0.5,32.0,0.6959705453537527,0.7071067811865475,0.015749015748523606
0.5,64.0,0.701560760020114,0.7071067811865475,0.007843258350778416
0.5,128.0,0.7043392293490403,0.7071067811865475,0.003913909343173276
0.5,256.0,0.7057243619147634,0.7071067811865475,0.0019550360830429604
0.5,1024.0,0.7067614298686651,0.7071067811865475,0.000488400517532685
0.75,8.0,0.5825053345678254,0.6324555320336759,0.0789781967836291
0.75,16.0,0.6076293288692111,0.6324555320336759,0.03925367382689431
0.75,32.0,0.6200747303428662,0.6324555320336759,0.01957576630091118
0.75,64.0,0.6262724964921649,0.6324555320336759,0.009776237582473675
0.75,128.0,0.6293657457385099,0.6324555320336759,0.00488538108794891
0.75,256.0,0.6309110539879387,0.6324555320336759,0.002442034210327644
0.75,1024.0,0.632069487635475,0.6324555320336759,0.0006103897881319118
1.0,8.0,0.5229125165837972,0.5773502691896258,0.09428895336316019
1.0,16.0,0.550213026926844,0.5773502691896258,0.04700308237644348
1.0,32.0,0.5638005797708974,0.5773502691896258,0.02346875050001612
1.0,64.0,0.5705799886409442,0.5773502691896258,0.011726469891811952
1.0,128.0,0.5739662497563555,0.5773502691896258,0.0058612935922247355
1.0,256.0,0.5756585372118125,0.5773502691896258,0.0029301657383617235
1.0,1024.0,0.5769273880039435,0.5773502691896258,0.000732451699166789
