user_id,phase,detected,healthy_fp
7422,collapse_detection,1,3.0
7927,bubble_detection,1,1.0
7927,collapse_detection,1,1.0
3721,bubble_detection,0,0.0
3721,collapse_detection,0,0.0
22287,bubble_detection,1,5.0
22287,collapse_detection,1,5.0
7812,bubble_detection,1,1.0
7812,collapse_detection,1,1.0
1171,bubble_detection,1,2.0
1171,collapse_detection,1,2.0
10243,bubble_detection,1,1.0
10243,collapse_detection,1,1.0
25933,bubble_detection,1,1.0
25933,collapse_detection,1,1.0
1622,bubble_detection,0,0.0
1622,collapse_detection,0,0.0
4103,bubble_detection,0,0.0
4103,collapse_detection,1,0.0
15885,bubble_detection,0,0.0
15885,collapse_detection,0,0.0
18577,bubble_detection,0,0.0
18577,collapse_detection,0,0.0
19712,bubble_detection,0,0.0
19712,collapse_detection,0,0.0
20853,bubble_detection,1,1.0
20853,collapse_detection,1,1.0
3904,bubble_detection,0,0.0
3904,collapse_detection,0,0.0
18164,bubble_detection,0,0.0
18164,collapse_detection,1,0.0
1686,bubble_detection,1,2.0
1686,collapse_detection,1,2.0
5852,bubble_detection,0,0.0
5852,collapse_detection,0,0.0
18088,bubble_detection,1,1.0
18088,collapse_detection,1,1.0
21059,bubble_detection,1,1.0
21059,collapse_detection,1,1.0
3839,bubble_detection,1,1.0
3839,collapse_detection,1,1.0
13329,bubble_detection,0,0.0
13329,collapse_detection,0,0.0
7027,bubble_detection,0,0.0
7027,collapse_detection,0,0.0
11727,bubble_detection,0,0.0
11727,collapse_detection,0,0.0
17548,bubble_detection,0,0.0
17548,collapse_detection,1,0.0
1813,bubble_detection,1,1.0
1813,collapse_detection,1,1.0
8468,bubble_detection,0,0.0
8468,collapse_detection,0,0.0
7746,bubble_detection,0,0.0
7746,collapse_detection,0,0.0
1124,bubble_detection,1,4.0
1124,collapse_detection,1,4.0
19891,bubble_detection,0,0.0
19891,collapse_detection,0,0.0
7582,bubble_detection,0,0.0
7582,collapse_detection,0,0.0
10614,bubble_detection,0,0.0
10614,collapse_detection,0,0.0
6908,bubble_detection,0,0.0
6908,collapse_detection,0,0.0
25297,bubble_detection,0,0.0
25297,collapse_detection,0,0.0
9084,bubble_detection,1,1.0
9084,collapse_detection,1,1.0
22092,bubble_detection,1,1.0
22092,collapse_detection,1,1.0
25733,bubble_detection,1,1.0
25733,collapse_detection,1,1.0
6689,bubble_detection,1,1.0
6689,collapse_detection,1,1.0
18449,bubble_detection,0,0.0
18449,collapse_detection,0,0.0
22853,bubble_detection,0,0.0
22853,collapse_detection,0,0.0
22578,bubble_detection,0,0.0
22578,collapse_detection,0,0.0
10852,bubble_detection,1,1.0
10852,collapse_detection,1,1.0
22161,bubble_detection,1,1.0
22161,collapse_detection,1,1.0
1702,bubble_detection,0,0.0
1702,collapse_detection,0,0.0
16354,bubble_detection,1,1.0
16354,collapse_detection,1,1.0
23510,bubble_detection,1,1.0
23510,collapse_detection,1,1.0
9146,bubble_detection,1,1.0
9146,collapse_detection,1,1.0
22117,bubble_detection,0,0.0
22117,collapse_detection,0,0.0
5781,bubble_detection,1,1.0
5781,collapse_detection,1,1.0
13531,bubble_detection,1,7.0
13531,collapse_detection,1,7.0
18947,bubble_detection,1,2.0
18947,collapse_detection,1,2.0
20672,bubble_detection,1,1.0
20672,collapse_detection,1,1.0
21328,bubble_detection,0,0.0
21328,collapse_detection,0,0.0
4713,bubble_detection,1,3.0
4713,collapse_detection,1,3.0
19388,bubble_detection,0,0.0
19388,collapse_detection,0,0.0
6858,bubble_detection,0,0.0
6858,collapse_detection,0,0.0
18460,bubble_detection,0,0.0
18460,collapse_detection,0,0.0
13343,bubble_detection,0,0.0
13343,collapse_detection,0,0.0
5440,bubble_detection,0,0.0
5440,collapse_detection,0,0.0
2503,bubble_detection,1,1.0
2503,collapse_detection,1,1.0
2756,bubble_detection,1,1.0
2756,collapse_detection,1,1.0
19599,bubble_detection,1,2.0
19599,collapse_detection,1,2.0
976,bubble_detection,0,0.0
976,collapse_detection,0,0.0
18375,bubble_detection,0,0.0
18375,collapse_detection,0,0.0
18688,bubble_detection,1,2.0
18688,collapse_detection,1,2.0
24466,bubble_detection,1,1.0
24466,collapse_detection,1,1.0
9186,bubble_detection,0,0.0
9186,collapse_detection,0,0.0
3386,bubble_detection,0,0.0
3386,collapse_detection,0,0.0
14520,bubble_detection,1,1.0
14520,collapse_detection,1,1.0
22918,bubble_detection,1,1.0
22918,collapse_detection,1,1.0
9223,bubble_detection,0,0.0
9223,collapse_detection,0,0.0
18542,bubble_detection,1,1.0
18542,collapse_detection,1,1.0
797,bubble_detection,1,1.0
797,collapse_detection,1,1.0
23868,bubble_detection,0,0.0
23868,collapse_detection,0,0.0
15207,bubble_detection,0,0.0
15207,collapse_detection,0,0.0
24154,bubble_detection,1,1.0
24154,collapse_detection,1,1.0
12865,bubble_detection,1,1.0
12865,collapse_detection,1,1.0
20574,bubble_detection,0,0.0
