strategy,warnings,leads,precision,median_lead,mean_lead,min_lead,max_lead
fixed_50,24,11,0.458,91.0,84.5,51.0,98.0
fixed_100,58,18,0.31,94.0,96.9,45.0,157.0
fixed_300,83,34,0.41,44.0,45.8,0.0,145.0
dynamic,95,29,0.305,101.0,97.4,17.0,147.0
adwin,114,54,0.474,84.5,83.5,7.0,165.0
