seed,regime,condition,influence,lambda,tail_abs_error,tail_action_gap,tail_effort,tail_sigma_p,tail_sigma_p_eff,tail_sigma_a,tail_sigma_phi,tail_tci,tail_tcie
13,coercive,fm1,0.1,2.0,0.484581,0.538423,0.053842,0.875801,0.796514,1.0,1.0,0.875801,0.796514
14,passive,fm1,0.1,2.0,0.771274,0.771274,0.0,0.765668,0.765668,1.0,1.0,0.765668,0.765668
14,coercive,fm1,0.1,2.0,0.450099,0.50011,0.050011,0.889592,0.812083,1.0,1.0,0.889592,0.812083
7,passive,fm1,0.1,3.0,0.800198,0.800198,0.0,0.748949,0.748949,1.0,1.0,0.748949,0.748949
7,coercive,fm1,0.1,3.0,0.557893,0.619881,0.061988,0.849146,0.71906,1.0,1.0,0.849146,0.71906
8,passive,fm1,0.1,3.0,0.557929,0.557929,0.0,0.844876,0.844876,1.0,1.0,0.844876,0.844876
8,coercive,fm1,0.1,3.0,0.41422,0.460245,0.046024,0.898166,0.800842,1.0,1.0,0.898166,0.800842
9,passive,fm1,0.1,3.0,0.965855,0.965855,0.0,0.683432,0.683432,1.0,1.0,0.683432,0.683432
9,coercive,fm1,0.1,3.0,0.719224,0.799138,0.079914,0.785529,0.634404,1.0,1.0,0.785529,0.634404
10,passive,fm1,0.1,3.0,0.415387,0.415387,0.0,0.899595,0.899595,1.0,1.0,0.899595,0.899595
10,coercive,fm1,0.1,3.0,0.324391,0.360434,0.036043,0.928012,0.843308,1.0,1.0,0.928012,0.843308
11,passive,fm1,0.1,3.0,0.594756,0.594756,0.0,0.831697,0.831697,1.0,1.0,0.831697,0.831697
11,coercive,fm1,0.1,3.0,0.473644,0.526271,0.052627,0.880593,0.766545,1.0,1.0,0.880593,0.766545
12,passive,fm1,0.1,3.0,0.654692,0.654692,0.0,0.803035,0.803035,1.0,1.0,0.803035,0.803035
12,coercive,fm1,0.1,3.0,0.48721,0.541345,0.054134,0.87111,0.756854,1.0,1.0,0.87111,0.756854
13,passive,fm1,0.1,3.0,0.726374,0.726374,0.0,0.783095,0.783095,1.0,1.0,0.783095,0.783095
13,coercive,fm1,0.1,3.0,0.484581,0.538423,0.053842,0.875801,0.760838,1.0,1.0,0.875801,0.760838
14,passive,fm1,0.1,3.0,0.771274,0.771274,0.0,0.765668,0.765668,1.0,1.0,0.765668,0.765668
14,coercive,fm1,0.1,3.0,0.450099,0.50011,0.050011,0.889592,0.776924,1.0,1.0,0.889592,0.776924
7,passive,fm1,0.1,4.0,0.800198,0.800198,0.0,0.748949,0.748949,1.0,1.0,0.748949,0.748949
7,coercive,fm1,0.1,4.0,0.557893,0.619881,0.061988,0.849146,0.681775,1.0,1.0,0.849146,0.681775
8,passive,fm1,0.1,4.0,0.557929,0.557929,0.0,0.844876,0.844876,1.0,1.0,0.844876,0.844876
8,coercive,fm1,0.1,4.0,0.41422,0.460245,0.046024,0.898166,0.772435,1.0,1.0,0.898166,0.772435
9,passive,fm1,0.1,4.0,0.965855,0.965855,0.0,0.683432,0.683432,1.0,1.0,0.683432,0.683432
9,coercive,fm1,0.1,4.0,0.719224,0.799138,0.079914,0.785529,0.59239,1.0,1.0,0.785529,0.59239
10,passive,fm1,0.1,4.0,0.415387,0.415387,0.0,0.899595,0.899595,1.0,1.0,0.899595,0.899595
10,coercive,fm1,0.1,4.0,0.324391,0.360434,0.036043,0.928012,0.818079,1.0,1.0,0.928012,0.818079
11,passive,fm1,0.1,4.0,0.594756,0.594756,0.0,0.831697,0.831697,1.0,1.0,0.831697,0.831697
11,coercive,fm1,0.1,4.0,0.473644,0.526271,0.052627,0.880593,0.733359,1.0,1.0,0.880593,0.733359
12,passive,fm1,0.1,4.0,0.654692,0.654692,0.0,0.803035,0.803035,1.0,1.0,0.803035,0.803035
12,coercive,fm1,0.1,4.0,0.48721,0.541345,0.054134,0.87111,0.723952,1.0,1.0,0.87111,0.723952
13,passive,fm1,0.1,4.0,0.726374,0.726374,0.0,0.783095,0.783095,1.0,1.0,0.783095,0.783095
13,coercive,fm1,0.1,4.0,0.484581,0.538423,0.053842,0.875801,0.727512,1.0,1.0,0.875801,0.727512
14,passive,fm1,0.1,4.0,0.771274,0.771274,0.0,0.765668,0.765668,1.0,1.0,0.765668,0.765668
14,coercive,fm1,0.1,4.0,0.450099,0.50011,0.050011,0.889592,0.743928,1.0,1.0,0.889592,0.743928
7,passive,fm1,0.2,0.5,0.800198,0.800198,0.0,0.748949,0.748949,1.0,1.0,0.748949,0.748949
7,coercive,fm1,0.2,0.5,0.391011,0.488764,0.097753,0.912773,0.871841,1.0,1.0,0.912773,0.871841
8,passive,fm1,0.2,0.5,0.557929,0.557929,0.0,0.844876,0.844876,1.0,1.0,0.844876,0.844876
8,coercive,fm1,0.2,0.5,0.31155,0.389437,0.077887,0.93449,0.902433,1.0,1.0,0.93449,0.902433
9,passive,fm1,0.2,0.5,0.965855,0.965855,0.0,0.683432,0.683432,1.0,1.0,0.683432,0.683432
9,coercive,fm1,0.2,0.5,0.52013,0.650163,0.130033,0.867621,0.816379,1.0,1.0,0.867621,0.816379
10,passive,fm1,0.2,0.5,0.415387,0.415387,0.0,0.899595,0.899595,1.0,1.0,0.899595,0.899595
10,coercive,fm1,0.2,0.5,0.278085,0.347606,0.069521,0.945587,0.915428,1.0,1.0,0.945587,0.915428
11,passive,fm1,0.2,0.5,0.594756,0.594756,0.0,0.831697,0.831697,1.0,1.0,0.831697,0.831697
11,coercive,fm1,0.2,0.5,0.374333,0.467916,0.093583,0.919098,0.87981,1.0,1.0,0.919098,0.87981
12,passive,fm1,0.2,0.5,0.654692,0.654692,0.0,0.803035,0.803035,1.0,1.0,0.803035,0.803035
12,coercive,fm1,0.2,0.5,0.374599,0.468248,0.09365,0.918038,0.878792,1.0,1.0,0.918038,0.878792
13,passive,fm1,0.2,0.5,0.726374,0.726374,0.0,0.783095,0.783095,1.0,1.0,0.783095,0.783095
13,coercive,fm1,0.2,0.5,0.344759,0.430949,0.08619,0.923785,0.888389,1.0,1.0,0.923785,0.888389
14,passive,fm1,0.2,0.5,0.771274,0.771274,0.0,0.765668,0.765668,1.0,1.0,0.765668,0.765668
14,coercive,fm1,0.2,0.5,0.298921,0.373652,0.07473,0.940306,0.907883,1.0,1.0,0.940306,0.907883
7,passive,fm1,0.2,1.0,0.800198,0.800198,0.0,0.748949,0.748949,1.0,1.0,0.748949,0.748949
7,coercive,fm1,0.2,1.0,0.391011,0.488764,0.097753,0.912773,0.833437,1.0,1.0,0.912773,0.833437
8,passive,fm1,0.2,1.0,0.557929,0.557929,0.0,0.844876,0.844876,1.0,1.0,0.844876,0.844876
8,coercive,fm1,0.2,1.0,0.31155,0.389437,0.077887,0.93449,0.87225,1.0,1.0,0.93449,0.87225
9,passive,fm1,0.2,1.0,0.965855,0.965855,0.0,0.683432,0.683432,1.0,1.0,0.683432,0.683432
9,coercive,fm1,0.2,1.0,0.52013,0.650163,0.130033,0.867621,0.768927,1.0,1.0,0.867621,0.768927
10,passive,fm1,0.2,1.0,0.415387,0.415387,0.0,0.899595,0.899595,1.0,1.0,0.899595,0.899595
10,coercive,fm1,0.2,1.0,0.278085,0.347606,0.069521,0.945587,0.886857,1.0,1.0,0.945587,0.886857
11,passive,fm1,0.2,1.0,0.594756,0.594756,0.0,0.831697,0.831697,1.0,1.0,0.831697,0.831697
11,coercive,fm1,0.2,1.0,0.374333,0.467916,0.093583,0.919098,0.842864,1.0,1.0,0.919098,0.842864
12,passive,fm1,0.2,1.0,0.654692,0.654692,0.0,0.803035,0.803035,1.0,1.0,0.803035,0.803035
12,coercive,fm1,0.2,1.0,0.374599,0.468248,0.09365,0.918038,0.84192,1.0,1.0,0.918038,0.84192
13,passive,fm1,0.2,1.0,0.726374,0.726374,0.0,0.783095,0.783095,1.0,1.0,0.783095,0.783095
13,coercive,fm1,0.2,1.0,0.344759,0.430949,0.08619,0.923785,0.855182,1.0,1.0,0.923785,0.855182
14,passive,fm1,0.2,1.0,0.771274,0.771274,0.0,0.765668,0.765668,1.0,1.0,0.765668,0.765668
14,coercive,fm1,0.2,1.0,0.298921,0.373652,0.07473,0.940306,0.877205,1.0,1.0,0.940306,0.877205
7,passive,fm1,0.2,2.0,0.800198,0.800198,0.0,0.748949,0.748949,1.0,1.0,0.748949,0.748949
7,coercive,fm1,0.2,2.0,0.391011,0.488764,0.097753,0.912773,0.7635,1.0,1.0,0.912773,0.7635
8,passive,fm1,0.2,2.0,0.557929,0.557929,0.0,0.844876,0.844876,1.0,1.0,0.844876,0.844876
8,coercive,fm1,0.2,2.0,0.31155,0.389437,0.077887,0.93449,0.81691,1.0,1.0,0.93449,0.81691
9,passive,fm1,0.2,2.0,0.965855,0.965855,0.0,0.683432,0.683432,1.0,1.0,0.683432,0.683432
9,coercive,fm1,0.2,2.0,0.52013,0.650163,0.130033,0.867621,0.684146,1.0,1.0,0.867621,0.684146
10,passive,fm1,0.2,2.0,0.415387,0.415387,0.0,0.899595,0.899595,1.0,1.0,0.899595,0.899595
10,coercive,fm1,0.2,2.0,0.278085,0.347606,0.069521,0.945587,0.834068,1.0,1.0,0.945587,0.834068
11,passive,fm1,0.2,2.0,0.594756,0.594756,0.0,0.831697,0.831697,1.0,1.0,0.831697,0.831697
11,coercive,fm1,0.2,2.0,0.374333,0.467916,0.093583,0.919098,0.775327,1.0,1.0,0.919098,0.775327
12,passive,fm1,0.2,2.0,0.654692,0.654692,0.0,0.803035,0.803035,1.0,1.0,0.803035,0.803035
12,coercive,fm1,0.2,2.0,0.374599,0.468248,0.09365,0.918038,0.774615,1.0,1.0,0.918038,0.774615
13,passive,fm1,0.2,2.0,0.726374,0.726374,0.0,0.783095,0.783095,1.0,1.0,0.783095,0.783095
13,coercive,fm1,0.2,2.0,0.344759,0.430949,0.08619,0.923785,0.794647,1.0,1.0,0.923785,0.794647
14,passive,fm1,0.2,2.0,0.771274,0.771274,0.0,0.765668,0.765668,1.0,1.0,0.765668,0.765668
14,coercive,fm1,0.2,2.0,0.298921,0.373652,0.07473,0.940306,0.82064,1.0,1.0,0.940306,0.82064
7,passive,fm1,0.2,3.0,0.800198,0.800198,0.0,0.748949,0.748949,1.0,1.0,0.748949,0.748949
7,coercive,fm1,0.2,3.0,0.391011,0.488764,0.097753,0.912773,0.701665,1.0,1.0,0.912773,0.701665
8,passive,fm1,0.2,3.0,0.557929,0.557929,0.0,0.844876,0.844876,1.0,1.0,0.844876,0.844876
8,coercive,fm1,0.2,3.0,0.31155,0.389437,0.077887,0.93449,0.767424,1.0,1.0,0.93449,0.767424
9,passive,fm1,0.2,3.0,0.965855,0.965855,0.0,0.683432,0.683432,1.0,1.0,0.683432,0.683432
