seed,regime,condition,influence,lambda,tail_abs_error,tail_action_gap,tail_effort,tail_sigma_p,tail_sigma_p_eff,tail_sigma_a,tail_sigma_phi,tail_tci,tail_tcie
12,passive,fm1,0.3,3.0,0.654692,0.654692,0.0,0.803035,0.803035,1.0,1.0,0.803035,0.803035
12,coercive,fm1,0.3,3.0,0.290822,0.41546,0.124638,0.94781,0.677093,1.0,1.0,0.94781,0.677093
13,passive,fm1,0.3,3.0,0.726374,0.726374,0.0,0.783095,0.783095,1.0,1.0,0.783095,0.783095
13,coercive,fm1,0.3,3.0,0.262436,0.374909,0.112473,0.949787,0.715248,1.0,1.0,0.949787,0.715248
14,passive,fm1,0.3,3.0,0.771274,0.771274,0.0,0.765668,0.765668,1.0,1.0,0.765668,0.765668
14,coercive,fm1,0.3,3.0,0.225865,0.322664,0.096799,0.963336,0.74429,1.0,1.0,0.963336,0.74429
7,passive,fm1,0.3,4.0,0.800198,0.800198,0.0,0.748949,0.748949,1.0,1.0,0.748949,0.748949
7,coercive,fm1,0.3,4.0,0.285301,0.407572,0.122272,0.946969,0.6227,1.0,1.0,0.946969,0.6227
8,passive,fm1,0.3,4.0,0.557929,0.557929,0.0,0.844876,0.844876,1.0,1.0,0.844876,0.844876
8,coercive,fm1,0.3,4.0,0.235249,0.336071,0.100821,0.958359,0.688708,1.0,1.0,0.958359,0.688708
9,passive,fm1,0.3,4.0,0.965855,0.965855,0.0,0.683432,0.683432,1.0,1.0,0.683432,0.683432
9,coercive,fm1,0.3,4.0,0.376351,0.537644,0.161293,0.921022,0.524955,1.0,1.0,0.921022,0.524955
10,passive,fm1,0.3,4.0,0.415387,0.415387,0.0,0.899595,0.899595,1.0,1.0,0.899595,0.899595
10,coercive,fm1,0.3,4.0,0.233272,0.333246,0.099974,0.960559,0.682688,1.0,1.0,0.960559,0.682688
11,passive,fm1,0.3,4.0,0.594756,0.594756,0.0,0.831697,0.831697,1.0,1.0,0.831697,0.831697
11,coercive,fm1,0.3,4.0,0.295552,0.422218,0.126665,0.946694,0.606316,1.0,1.0,0.946694,0.606316
12,passive,fm1,0.3,4.0,0.654692,0.654692,0.0,0.803035,0.803035,1.0,1.0,0.803035,0.803035
12,coercive,fm1,0.3,4.0,0.290822,0.41546,0.124638,0.94781,0.611459,1.0,1.0,0.94781,0.611459
13,passive,fm1,0.3,4.0,0.726374,0.726374,0.0,0.783095,0.783095,1.0,1.0,0.783095,0.783095
13,coercive,fm1,0.3,4.0,0.262436,0.374909,0.112473,0.949787,0.659091,1.0,1.0,0.949787,0.659091
14,passive,fm1,0.3,4.0,0.771274,0.771274,0.0,0.765668,0.765668,1.0,1.0,0.765668,0.765668
14,coercive,fm1,0.3,4.0,0.225865,0.322664,0.096799,0.963336,0.689162,1.0,1.0,0.963336,0.689162
7,passive,fm1,0.5,0.5,0.800198,0.800198,0.0,0.748949,0.748949,1.0,1.0,0.748949,0.748949
7,coercive,fm1,0.5,0.5,0.170303,0.340606,0.170303,0.978926,0.902038,1.0,1.0,0.978926,0.902038
8,passive,fm1,0.5,0.5,0.557929,0.557929,0.0,0.844876,0.844876,1.0,1.0,0.844876,0.844876
8,coercive,fm1,0.5,0.5,0.141142,0.282284,0.141142,0.983507,0.919874,1.0,1.0,0.983507,0.919874
9,passive,fm1,0.5,0.5,0.965855,0.965855,0.0,0.683432,0.683432,1.0,1.0,0.683432,0.683432
9,coercive,fm1,0.5,0.5,0.205022,0.410044,0.205022,0.972359,0.881108,1.0,1.0,0.972359,0.881108
10,passive,fm1,0.5,0.5,0.415387,0.415387,0.0,0.899595,0.899595,1.0,1.0,0.899595,0.899595
10,coercive,fm1,0.5,0.5,0.157221,0.314442,0.157221,0.982003,0.910252,1.0,1.0,0.982003,0.910252
11,passive,fm1,0.5,0.5,0.594756,0.594756,0.0,0.831697,0.831697,1.0,1.0,0.831697,0.831697
11,coercive,fm1,0.5,0.5,0.177752,0.355503,0.177752,0.978788,0.898102,1.0,1.0,0.978788,0.898102
12,passive,fm1,0.5,0.5,0.654692,0.654692,0.0,0.803035,0.803035,1.0,1.0,0.803035,0.803035
12,coercive,fm1,0.5,0.5,0.176138,0.352275,0.176138,0.979576,0.899319,1.0,1.0,0.979576,0.899319
13,passive,fm1,0.5,0.5,0.726374,0.726374,0.0,0.783095,0.783095,1.0,1.0,0.783095,0.783095
13,coercive,fm1,0.5,0.5,0.162488,0.324976,0.162488,0.978723,0.906196,1.0,1.0,0.978723,0.906196
14,passive,fm1,0.5,0.5,0.771274,0.771274,0.0,0.765668,0.765668,1.0,1.0,0.765668,0.765668
14,coercive,fm1,0.5,0.5,0.139477,0.278954,0.139477,0.984894,0.920921,1.0,1.0,0.984894,0.920921
7,passive,fm1,0.5,1.0,0.800198,0.800198,0.0,0.748949,0.748949,1.0,1.0,0.748949,0.748949
7,coercive,fm1,0.5,1.0,0.170303,0.340606,0.170303,0.978926,0.83421,1.0,1.0,0.978926,0.83421
8,passive,fm1,0.5,1.0,0.557929,0.557929,0.0,0.844876,0.844876,1.0,1.0,0.844876,0.844876
8,coercive,fm1,0.5,1.0,0.141142,0.282284,0.141142,0.983507,0.863157,1.0,1.0,0.983507,0.863157
9,passive,fm1,0.5,1.0,0.965855,0.965855,0.0,0.683432,0.683432,1.0,1.0,0.683432,0.683432
9,coercive,fm1,0.5,1.0,0.205022,0.410044,0.205022,0.972359,0.80156,1.0,1.0,0.972359,0.80156
10,passive,fm1,0.5,1.0,0.415387,0.415387,0.0,0.899595,0.899595,1.0,1.0,0.899595,0.899595
10,coercive,fm1,0.5,1.0,0.157221,0.314442,0.157221,0.982003,0.846328,1.0,1.0,0.982003,0.846328
11,passive,fm1,0.5,1.0,0.594756,0.594756,0.0,0.831697,0.831697,1.0,1.0,0.831697,0.831697
11,coercive,fm1,0.5,1.0,0.177752,0.355503,0.177752,0.978788,0.826595,1.0,1.0,0.978788,0.826595
12,passive,fm1,0.5,1.0,0.654692,0.654692,0.0,0.803035,0.803035,1.0,1.0,0.803035,0.803035
12,coercive,fm1,0.5,1.0,0.176138,0.352275,0.176138,0.979576,0.827934,1.0,1.0,0.979576,0.827934
13,passive,fm1,0.5,1.0,0.726374,0.726374,0.0,0.783095,0.783095,1.0,1.0,0.783095,0.783095
13,coercive,fm1,0.5,1.0,0.162488,0.324976,0.162488,0.978723,0.842654,1.0,1.0,0.978723,0.842654
14,passive,fm1,0.5,1.0,0.771274,0.771274,0.0,0.765668,0.765668,1.0,1.0,0.765668,0.765668
14,coercive,fm1,0.5,1.0,0.139477,0.278954,0.139477,0.984894,0.863518,1.0,1.0,0.984894,0.863518
7,passive,fm1,0.5,2.0,0.800198,0.800198,0.0,0.748949,0.748949,1.0,1.0,0.748949,0.748949
7,coercive,fm1,0.5,2.0,0.170303,0.340606,0.170303,0.978926,0.720846,1.0,1.0,0.978926,0.720846
8,passive,fm1,0.5,2.0,0.557929,0.557929,0.0,0.844876,0.844876,1.0,1.0,0.844876,0.844876
8,coercive,fm1,0.5,2.0,0.141142,0.282284,0.141142,0.983507,0.766381,1.0,1.0,0.983507,0.766381
9,passive,fm1,0.5,2.0,0.965855,0.965855,0.0,0.683432,0.683432,1.0,1.0,0.683432,0.683432
9,coercive,fm1,0.5,2.0,0.205022,0.410044,0.205022,0.972359,0.670754,1.0,1.0,0.972359,0.670754
10,passive,fm1,0.5,2.0,0.415387,0.415387,0.0,0.899595,0.899595,1.0,1.0,0.899595,0.899595
10,coercive,fm1,0.5,2.0,0.157221,0.314442,0.157221,0.982003,0.738045,1.0,1.0,0.982003,0.738045
11,passive,fm1,0.5,2.0,0.594756,0.594756,0.0,0.831697,0.831697,1.0,1.0,0.831697,0.831697
11,coercive,fm1,0.5,2.0,0.177752,0.355503,0.177752,0.978788,0.706395,1.0,1.0,0.978788,0.706395
12,passive,fm1,0.5,2.0,0.654692,0.654692,0.0,0.803035,0.803035,1.0,1.0,0.803035,0.803035
12,coercive,fm1,0.5,2.0,0.176138,0.352275,0.176138,0.979576,0.707318,1.0,1.0,0.979576,0.707318
13,passive,fm1,0.5,2.0,0.726374,0.726374,0.0,0.783095,0.783095,1.0,1.0,0.783095,0.783095
13,coercive,fm1,0.5,2.0,0.162488,0.324976,0.162488,0.978723,0.737211,1.0,1.0,0.978723,0.737211
14,passive,fm1,0.5,2.0,0.771274,0.771274,0.0,0.765668,0.765668,1.0,1.0,0.765668,0.765668
14,coercive,fm1,0.5,2.0,0.139477,0.278954,0.139477,0.984894,0.765142,1.0,1.0,0.984894,0.765142
7,passive,fm1,0.5,3.0,0.800198,0.800198,0.0,0.748949,0.748949,1.0,1.0,0.748949,0.748949
7,coercive,fm1,0.5,3.0,0.170303,0.340606,0.170303,0.978926,0.630834,1.0,1.0,0.978926,0.630834
8,passive,fm1,0.5,3.0,0.557929,0.557929,0.0,0.844876,0.844876,1.0,1.0,0.844876,0.844876
8,coercive,fm1,0.5,3.0,0.141142,0.282284,0.141142,0.983507,0.686873,1.0,1.0,0.983507,0.686873
9,passive,fm1,0.5,3.0,0.965855,0.965855,0.0,0.683432,0.683432,1.0,1.0,0.683432,0.683432
9,coercive,fm1,0.5,3.0,0.205022,0.410044,0.205022,0.972359,0.569018,1.0,1.0,0.972359,0.569018
10,passive,fm1,0.5,3.0,0.415387,0.415387,0.0,0.899595,0.899595,1.0,1.0,0.899595,0.899595
10,coercive,fm1,0.5,3.0,0.157221,0.314442,0.157221,0.982003,0.650658,1.0,1.0,0.982003,0.650658
11,passive,fm1,0.5,3.0,0.594756,0.594756,0.0,0.831697,0.831697,1.0,1.0,0.831697,0.831697
11,coercive,fm1,0.5,3.0,0.177752,0.355503,0.177752,0.978788,0.610403,1.0,1.0,0.978788,0.610403
12,passive,fm1,0.5,3.0,0.654692,0.654692,0.0,0.803035,0.803035,1.0,1.0,0.803035,0.803035
12,coercive,fm1,0.5,3.0,0.176138,0.352275,0.176138,0.979576,0.610346,1.0,1.0,0.979576,0.610346
13,passive,fm1,0.5,3.0,0.726374,0.726374,0.0,0.783095,0.783095,1.0,1.0,0.783095,0.783095
13,coercive,fm1,0.5,3.0,0.162488,0.324976,0.162488,0.978723,0.653902,1.0,1.0,0.978723,0.653902
14,passive,fm1,0.5,3.0,0.771274,0.771274,0.0,0.765668,0.765668,1.0,1.0,0.765668,0.765668
14,coercive,fm1,0.5,3.0,0.139477,0.278954,0.139477,0.984894,0.684355,1.0,1.0,0.984894,0.684355
7,passive,fm1,0.5,4.0,0.800198,0.800198,0.0,0.748949,0.748949,1.0,1.0,0.748949,0.748949
7,coercive,fm1,0.5,4.0,0.170303,0.340606,0.170303,0.978926,0.558395,1.0,1.0,0.978926,0.558395
8,passive,fm1,0.5,4.0,0.557929,0.557929,0.0,0.844876,0.844876,1.0,1.0,0.844876,0.844876
8,coercive,fm1,0.5,4.0,0.141142,0.282284,0.141142,0.983507,0.620445,1.0,1.0,0.983507,0.620445
9,passive,fm1,0.5,4.0,0.965855,0.965855,0.0,0.683432,0.683432,1.0,1.0,0.683432,0.683432
9,coercive,fm1,0.5,4.0,0.205022,0.410044,0.205022,0.972359,0.488739,1.0,1.0,0.972359,0.488739
10,passive,fm1,0.5,4.0,0.415387,0.415387,0.0,0.899595,0.899595,1.0,1.0,0.899595,0.899595
10,coercive,fm1,0.5,4.0,0.157221,0.314442,0.157221,0.982003,0.579369,1.0,1.0,0.982003,0.579369
11,passive,fm1,0.5,4.0,0.594756,0.594756,0.0,0.831697,0.831697,1.0,1.0,0.831697,0.831697
11,coercive,fm1,0.5,4.0,0.177752,0.355503,0.177752,0.978788,0.532931,1.0,1.0,0.978788,0.532931
12,passive,fm1,0.5,4.0,0.654692,0.654692,0.0,0.803035,0.803035,1.0,1.0,0.803035,0.803035
12,coercive,fm1,0.5,4.0,0.176138,0.352275,0.176138,0.979576,0.531585,1.0,1.0,0.979576,0.531585
13,passive,fm1,0.5,4.0,0.726374,0.726374,0.0,0.783095,0.783095,1.0,1.0,0.783095,0.783095
13,coercive,fm1,0.5,4.0,0.162488,0.324976,0.162488,0.978723,0.586846,1.0,1.0,0.978723,0.586846
14,passive,fm1,0.5,4.0,0.771274,0.771274,0.0,0.765668,0.765668,1.0,1.0,0.765668,0.765668
14,coercive,fm1,0.5,4.0,0.139477,0.278954,0.139477,0.984894,0.617186,1.0,1.0,0.984894,0.617186
7,passive,fm1,0.7,0.5,0.800198,0.800198,0.0,0.748949,0.748949,1.0,1.0,0.748949,0.748949
7,coercive,fm1,0.7,0.5,0.095104,0.317013,0.221909,0.993209,0.892283,1.0,1.0,0.993209,0.892283
8,passive,fm1,0.7,0.5,0.557929,0.557929,0.0,0.844876,0.844876,1.0,1.0,0.844876,0.844876
8,coercive,fm1,0.7,0.5,0.079431,0.26477,0.185339,0.994815,0.90988,1.0,1.0,0.994815,0.90988
9,passive,fm1,0.7,0.5,0.965855,0.965855,0.0,0.683432,0.683432,1.0,1.0,0.683432,0.683432
9,coercive,fm1,0.7,0.5,0.104962,0.349872,0.24491,0.991952,0.881501,1.0,1.0,0.991952,0.881501
10,passive,fm1,0.7,0.5,0.415387,0.415387,0.0,0.899595,0.899595,1.0,1.0,0.899595,0.899595
10,coercive,fm1,0.7,0.5,0.092461,0.308204,0.215743,0.994001,0.894917,1.0,1.0,0.994001,0.894917
11,passive,fm1,0.7,0.5,0.594756,0.594756,0.0,0.831697,0.831697,1.0,1.0,0.831697,0.831697
11,coercive,fm1,0.7,0.5,0.097187,0.323957,0.22677,0.993541,0.889627,1.0,1.0,0.993541,0.889627
12,passive,fm1,0.7,0.5,0.654692,0.654692,0.0,0.803035,0.803035,1.0,1.0,0.803035,0.803035
12,coercive,fm1,0.7,0.5,0.096034,0.320115,0.22408,0.993622,0.890963,1.0,1.0,0.993622,0.890963
13,passive,fm1,0.7,0.5,0.726374,0.726374,0.0,0.783095,0.783095,1.0,1.0,0.783095,0.783095
13,coercive,fm1,0.7,0.5,0.090418,0.301392,0.210975,0.993284,0.897758,1.0,1.0,0.993284,0.897758
14,passive,fm1,0.7,0.5,0.771274,0.771274,0.0,0.765668,0.765668,1.0,1.0,0.765668,0.765668
14,coercive,fm1,0.7,0.5,0.078559,0.261865,0.183305,0.995003,0.910699,1.0,1.0,0.995003,0.910699
7,passive,fm1,0.7,1.0,0.800198,0.800198,0.0,0.748949,0.748949,1.0,1.0,0.748949,0.748949
7,coercive,fm1,0.7,1.0,0.095104,0.317013,0.221909,0.993209,0.806536,1.0,1.0,0.993209,0.806536
8,passive,fm1,0.7,1.0,0.557929,0.557929,0.0,0.844876,0.844876,1.0,1.0,0.844876,0.844876
8,coercive,fm1,0.7,1.0,0.079431,0.26477,0.185339,0.994815,0.836342,1.0,1.0,0.994815,0.836342
9,passive,fm1,0.7,1.0,0.965855,0.965855,0.0,0.683432,0.683432,1.0,1.0,0.683432,0.683432
9,coercive,fm1,0.7,1.0,0.104962,0.349872,0.24491,0.991952,0.788665,1.0,1.0,0.991952,0.788665
10,passive,fm1,0.7,1.0,0.415387,0.415387,0.0,0.899595,0.899595,1.0,1.0,0.899595,0.899595
10,coercive,fm1,0.7,1.0,0.092461,0.308204,0.215743,0.994001,0.809508,1.0,1.0,0.994001,0.809508
11,passive,fm1,0.7,1.0,0.594756,0.594756,0.0,0.831697,0.831697,1.0,1.0,0.831697,0.831697
11,coercive,fm1,0.7,1.0,0.097187,0.323957,0.22677,0.993541,0.800397,1.0,1.0,0.993541,0.800397
12,passive,fm1,0.7,1.0,0.654692,0.654692,0.0,0.803035,0.803035,1.0,1.0,0.803035,0.803035
12,coercive,fm1,0.7,1.0,0.096034,0.320115,0.22408,0.993622,0.802719,1.0,1.0,0.993622,0.802719
13,passive,fm1,0.7,1.0,0.726374,0.726374,0.0,0.783095,0.783095,1.0,1.0,0.783095,0.783095
13,coercive,fm1,0.7,1.0,0.090418,0.301392,0.210975,0.993284,0.817093,1.0,1.0,0.993284,0.817093
14,passive,fm1,0.7,1.0,0.771274,0.771274,0.0,0.765668,0.765668,1.0,1.0,0.765668,0.765668
14,coercive,fm1,0.7,1.0,0.078559,0.261865,0.183305,0.995003,0.837699,1.0,1.0,0.995003,0.837699
7,passive,fm1,0.7,2.0,0.800198,0.800198,0.0,0.748949,0.748949,1.0,1.0,0.748949,0.748949
7,coercive,fm1,0.7,2.0,0.095104,0.317013,0.221909,0.993209,0.670271,1.0,1.0,0.993209,0.670271
8,passive,fm1,0.7,2.0,0.557929,0.557929,0.0,0.844876,0.844876,1.0,1.0,0.844876,0.844876
8,coercive,fm1,0.7,2.0,0.079431,0.26477,0.185339,0.994815,0.715484,1.0,1.0,0.994815,0.715484
9,passive,fm1,0.7,2.0,0.965855,0.965855,0.0,0.683432,0.683432,1.0,1.0,0.683432,0.683432
9,coercive,fm1,0.7,2.0,0.104962,0.349872,0.24491,0.991952,0.64297,1.0,1.0,0.991952,0.64297
10,passive,fm1,0.7,2.0,0.415387,0.415387,0.0,0.899595,0.899595,1.0,1.0,0.899595,0.899595
10,coercive,fm1,0.7,2.0,0.092461,0.308204,0.215743,0.994001,0.671245,1.0,1.0,0.994001,0.671245
11,passive,fm1,0.7,2.0,0.594756,0.594756,0.0,0.831697,0.831697,1.0,1.0,0.831697,0.831697
11,coercive,fm1,0.7,2.0,0.097187,0.323957,0.22677,0.993541,0.656758,1.0,1.0,0.993541,0.656758
12,passive,fm1,0.7,2.0,0.654692,0.654692,0.0,0.803035,0.803035,1.0,1.0,0.803035,0.803035
12,coercive,fm1,0.7,2.0,0.096034,0.320115,0.22408,0.993622,0.66026,1.0,1.0,0.993622,0.66026
13,passive,fm1,0.7,2.0,0.726374,0.726374,0.0,0.783095,0.783095,1.0,1.0,0.783095,0.783095
13,coercive,fm1,0.7,2.0,0.090418,0.301392,0.210975,0.993284,0.689814,1.0,1.0,0.993284,0.689814
14,passive,fm1,0.7,2.0,0.771274,0.771274,0.0,0.765668,0.765668,1.0,1.0,0.765668,0.765668
14,coercive,fm1,0.7,2.0,0.078559,0.261865,0.183305,0.995003,0.718436,1.0,1.0,0.995003,0.718436
7,passive,fm1,0.7,3.0,0.800198,0.800198,0.0,0.748949,0.748949,1.0,1.0,0.748949,0.748949
7,coercive,fm1,0.7,3.0,0.095104,0.317013,0.221909,0.993209,0.568451,1.0,1.0,0.993209,0.568451
8,passive,fm1,0.7,3.0,0.557929,0.557929,0.0,0.844876,0.844876,1.0,1.0,0.844876,0.844876
8,coercive,fm1,0.7,3.0,0.079431,0.26477,0.185339,0.994815,0.620442,1.0,1.0,0.994815,0.620442
9,passive,fm1,0.7,3.0,0.965855,0.965855,0.0,0.683432,0.683432,1.0,1.0,0.683432,0.683432
9,coercive,fm1,0.7,3.0,0.104962,0.349872,0.24491,0.991952,0.535604,1.0,1.0,0.991952,0.535604
10,passive,fm1,0.7,3.0,0.415387,0.415387,0.0,0.899595,0.899595,1.0,1.0,0.899595,0.899595
10,coercive,fm1,0.7,3.0,0.092461,0.308204,0.215743,0.994001,0.565799,1.0,1.0,0.994001,0.565799
11,passive,fm1,0.7,3.0,0.594756,0.594756,0.0,0.831697,0.831697,1.0,1.0,0.831697,0.831697
11,coercive,fm1,0.7,3.0,0.097187,0.323957,0.22677,0.993541,0.548039,1.0,1.0,0.993541,0.548039
12,passive,fm1,0.7,3.0,0.654692,0.654692,0.0,0.803035,0.803035,1.0,1.0,0.803035,0.803035
12,coercive,fm1,0.7,3.0,0.096034,0.320115,0.22408,0.993622,0.55189,1.0,1.0,0.993622,0.55189
13,passive,fm1,0.7,3.0,0.726374,0.726374,0.0,0.783095,0.783095,1.0,1.0,0.783095,0.783095
13,coercive,fm1,0.7,3.0,0.090418,0.301392,0.210975,0.993284,0.595348,1.0,1.0,0.993284,0.595348
14,passive,fm1,0.7,3.0,0.771274,0.771274,0.0,0.765668,0.765668,1.0,1.0,0.765668,0.765668
14,coercive,fm1,0.7,3.0,0.078559,0.261865,0.183305,0.995003,0.626038,1.0,1.0,0.995003,0.626038
7,passive,fm1,0.7,4.0,0.800198,0.800198,0.0,0.748949,0.748949,1.0,1.0,0.748949,0.748949
7,coercive,fm1,0.7,4.0,0.095104,0.317013,0.221909,0.993209,0.490608,1.0,1.0,0.993209,0.490608
8,passive,fm1,0.7,4.0,0.557929,0.557929,0.0,0.844876,0.844876,1.0,1.0,0.844876,0.844876
8,coercive,fm1,0.7,4.0,0.079431,0.26477,0.185339,0.994815,0.543906,1.0,1.0,0.994815,0.543906
9,passive,fm1,0.7,4.0,0.965855,0.965855,0.0,0.683432,0.683432,1.0,1.0,0.683432,0.683432
9,coercive,fm1,0.7,4.0,0.104962,0.349872,0.24491,0.991952,0.454523,1.0,1.0,0.991952,0.454523
10,passive,fm1,0.7,4.0,0.415387,0.415387,0.0,0.899595,0.899595,1.0,1.0,0.899595,0.899595
10,coercive,fm1,0.7,4.0,0.092461,0.308204,0.215743,0.994001,0.484018,1.0,1.0,0.994001,0.484018
11,passive,fm1,0.7,4.0,0.594756,0.594756,0.0,0.831697,0.831697,1.0,1.0,0.831697,0.831697
11,coercive,fm1,0.7,4.0,0.097187,0.323957,0.22677,0.993541,0.464326,1.0,1.0,0.993541,0.464326
12,passive,fm1,0.7,4.0,0.654692,0.654692,0.0,0.803035,0.803035,1.0,1.0,0.803035,0.803035
12,coercive,fm1,0.7,4.0,0.096034,0.320115,0.22408,0.993622,0.468026,1.0,1.0,0.993622,0.468026
13,passive,fm1,0.7,4.0,0.726374,0.726374,0.0,0.783095,0.783095,1.0,1.0,0.783095,0.783095
13,coercive,fm1,0.7,4.0,0.090418,0.301392,0.210975,0.993284,0.523362,1.0,1.0,0.993284,0.523362
14,passive,fm1,0.7,4.0,0.771274,0.771274,0.0,0.765668,0.765668,1.0,1.0,0.765668,0.765668
14,coercive,fm1,0.7,4.0,0.078559,0.261865,0.183305,0.995003,0.553042,1.0,1.0,0.995003,0.553042
7,passive,fm1,0.9,0.5,0.800198,0.800198,0.0,0.748949,0.748949,1.0,1.0,0.748949,0.748949
7,coercive,fm1,0.9,0.5,0.031205,0.312053,0.280847,0.999274,0.872577,1.0,1.0,0.999274,0.872577
8,passive,fm1,0.9,0.5,0.557929,0.557929,0.0,0.844876,0.844876,1.0,1.0,0.844876,0.844876
8,coercive,fm1,0.9,0.5,0.025275,0.252746,0.227471,0.999462,0.895879,1.0,1.0,0.999462,0.895879
9,passive,fm1,0.9,0.5,0.965855,0.965855,0.0,0.683432,0.683432,1.0,1.0,0.683432,0.683432
9,coercive,fm1,0.9,0.5,0.03289,0.328899,0.296009,0.999183,0.866497,1.0,1.0,0.999183,0.866497
10,passive,fm1,0.9,0.5,0.415387,0.415387,0.0,0.899595,0.899595,1.0,1.0,0.899595,0.899595
10,coercive,fm1,0.9,0.5,0.029899,0.298989,0.26909,0.999354,0.877113,1.0,1.0,0.999354,0.877113
11,passive,fm1,0.9,0.5,0.594756,0.594756,0.0,0.831697,0.831697,1.0,1.0,0.831697,0.831697
11,coercive,fm1,0.9,0.5,0.030639,0.30639,0.275751,0.999338,0.874059,1.0,1.0,0.999338,0.874059
12,passive,fm1,0.9,0.5,0.654692,0.654692,0.0,0.803035,0.803035,1.0,1.0,0.803035,0.803035
12,coercive,fm1,0.9,0.5,0.030817,0.308171,0.277354,0.999319,0.873527,1.0,1.0,0.999319,0.873527
13,passive,fm1,0.9,0.5,0.726374,0.726374,0.0,0.783095,0.783095,1.0,1.0,0.783095,0.783095
13,coercive,fm1,0.9,0.5,0.029444,0.294442,0.264997,0.999316,0.879755,1.0,1.0,0.999316,0.879755
14,passive,fm1,0.9,0.5,0.771274,0.771274,0.0,0.765668,0.765668,1.0,1.0,0.765668,0.765668
14,coercive,fm1,0.9,0.5,0.026464,0.264637,0.238173,0.999456,0.890708,1.0,1.0,0.999456,0.890708
7,passive,fm1,0.9,1.0,0.800198,0.800198,0.0,0.748949,0.748949,1.0,1.0,0.748949,0.748949
7,coercive,fm1,0.9,1.0,0.031205,0.312053,0.280847,0.999274,0.76893,1.0,1.0,0.999274,0.76893
8,passive,fm1,0.9,1.0,0.557929,0.557929,0.0,0.844876,0.844876,1.0,1.0,0.844876,0.844876
8,coercive,fm1,0.9,1.0,0.025275,0.252746,0.227471,0.999462,0.80931,1.0,1.0,0.999462,0.80931
9,passive,fm1,0.9,1.0,0.965855,0.965855,0.0,0.683432,0.683432,1.0,1.0,0.683432,0.683432
9,coercive,fm1,0.9,1.0,0.03289,0.328899,0.296009,0.999183,0.75903,1.0,1.0,0.999183,0.75903
10,passive,fm1,0.9,1.0,0.415387,0.415387,0.0,0.899595,0.899595,1.0,1.0,0.899595,0.899595
10,coercive,fm1,0.9,1.0,0.029899,0.298989,0.26909,0.999354,0.775879,1.0,1.0,0.999354,0.775879
11,passive,fm1,0.9,1.0,0.594756,0.594756,0.0,0.831697,0.831697,1.0,1.0,0.831697,0.831697
11,coercive,fm1,0.9,1.0,0.030639,0.30639,0.275751,0.999338,0.770258,1.0,1.0,0.999338,0.770258
12,passive,fm1,0.9,1.0,0.654692,0.654692,0.0,0.803035,0.803035,1.0,1.0,0.803035,0.803035
12,coercive,fm1,0.9,1.0,0.030817,0.308171,0.277354,0.999319,0.769394,1.0,1.0,0.999319,0.769394
13,passive,fm1,0.9,1.0,0.726374,0.726374,0.0,0.783095,0.783095,1.0,1.0,0.783095,0.783095
13,coercive,fm1,0.9,1.0,0.029444,0.294442,0.264997,0.999316,0.781948,1.0,1.0,0.999316,0.781948
14,passive,fm1,0.9,1.0,0.771274,0.771274,0.0,0.765668,0.765668,1.0,1.0,0.765668,0.765668
14,coercive,fm1,0.9,1.0,0.026464,0.264637,0.238173,0.999456,0.799525,1.0,1.0,0.999456,0.799525
7,passive,fm1,0.9,2.0,0.800198,0.800198,0.0,0.748949,0.748949,1.0,1.0,0.748949,0.748949
7,coercive,fm1,0.9,2.0,0.031205,0.312053,0.280847,0.999274,0.612153,1.0,1.0,0.999274,0.612153
8,passive,fm1,0.9,2.0,0.557929,0.557929,0.0,0.844876,0.844876,1.0,1.0,0.844876,0.844876
8,coercive,fm1,0.9,2.0,0.025275,0.252746,0.227471,0.999462,0.673637,1.0,1.0,0.999462,0.673637
9,passive,fm1,0.9,2.0,0.965855,0.965855,0.0,0.683432,0.683432,1.0,1.0,0.683432,0.683432
9,coercive,fm1,0.9,2.0,0.03289,0.328899,0.296009,0.999183,0.597951,1.0,1.0,0.999183,0.597951
10,passive,fm1,0.9,2.0,0.415387,0.415387,0.0,0.899595,0.899595,1.0,1.0,0.899595,0.899595
10,coercive,fm1,0.9,2.0,0.029899,0.298989,0.26909,0.999354,0.620743,1.0,1.0,0.999354,0.620743
11,passive,fm1,0.9,2.0,0.594756,0.594756,0.0,0.831697,0.831697,1.0,1.0,0.831697,0.831697
11,coercive,fm1,0.9,2.0,0.030639,0.30639,0.275751,0.999338,0.610933,1.0,1.0,0.999338,0.610933
12,passive,fm1,0.9,2.0,0.654692,0.654692,0.0,0.803035,0.803035,1.0,1.0,0.803035,0.803035
12,coercive,fm1,0.9,2.0,0.030817,0.308171,0.277354,0.999319,0.608945,1.0,1.0,0.999319,0.608945
13,passive,fm1,0.9,2.0,0.726374,0.726374,0.0,0.783095,0.783095,1.0,1.0,0.783095,0.783095
13,coercive,fm1,0.9,2.0,0.029444,0.294442,0.264997,0.999316,0.634093,1.0,1.0,0.999316,0.634093
14,passive,fm1,0.9,2.0,0.771274,0.771274,0.0,0.765668,0.765668,1.0,1.0,0.765668,0.765668
14,coercive,fm1,0.9,2.0,0.026464,0.264637,0.238173,0.999456,0.656611,1.0,1.0,0.999456,0.656611
7,passive,fm1,0.9,3.0,0.800198,0.800198,0.0,0.748949,0.748949,1.0,1.0,0.748949,0.748949
