regime,influence,lambda,n_seeds,mean_tail_abs_error,std_tail_abs_error,mean_tail_action_gap,std_tail_action_gap,mean_tail_effort,std_tail_effort,mean_tail_sigma_p,std_tail_sigma_p,mean_tail_sigma_p_eff,std_tail_sigma_p_eff,mean_tail_sigma_a,std_tail_sigma_a,mean_tail_sigma_phi,std_tail_sigma_phi,mean_tail_tci,std_tail_tci,mean_tail_tcie,std_tail_tcie,mean_masking_gap
coercive,0.9,3.0,8,0.03,0.002,0.296,0.024,0.266,0.021,0.999,0.0,0.518,0.029,1.0,0.0,1.0,0.0,0.999,0.0,0.518,0.029,0.481
coercive,0.9,4.0,8,0.03,0.002,0.296,0.024,0.266,0.021,0.999,0.0,0.437,0.031,1.0,0.0,1.0,0.0,0.999,0.0,0.437,0.031,0.562
passive,0.1,0.5,8,0.686,0.158,0.686,0.158,0.0,0.0,0.795,0.062,0.795,0.062,1.0,0.0,1.0,0.0,0.795,0.062,0.795,0.062,0.0
passive,0.1,1.0,8,0.686,0.158,0.686,0.158,0.0,0.0,0.795,0.062,0.795,0.062,1.0,0.0,1.0,0.0,0.795,0.062,0.795,0.062,0.0
passive,0.1,2.0,8,0.686,0.158,0.686,0.158,0.0,0.0,0.795,0.062,0.795,0.062,1.0,0.0,1.0,0.0,0.795,0.062,0.795,0.062,0.0
passive,0.1,3.0,8,0.686,0.158,0.686,0.158,0.0,0.0,0.795,0.062,0.795,0.062,1.0,0.0,1.0,0.0,0.795,0.062,0.795,0.062,0.0
passive,0.1,4.0,8,0.686,0.158,0.686,0.158,0.0,0.0,0.795,0.062,0.795,0.062,1.0,0.0,1.0,0.0,0.795,0.062,0.795,0.062,0.0
passive,0.2,0.5,8,0.686,0.158,0.686,0.158,0.0,0.0,0.795,0.062,0.795,0.062,1.0,0.0,1.0,0.0,0.795,0.062,0.795,0.062,0.0
passive,0.2,1.0,8,0.686,0.158,0.686,0.158,0.0,0.0,0.795,0.062,0.795,0.062,1.0,0.0,1.0,0.0,0.795,0.062,0.795,0.062,0.0
passive,0.2,2.0,8,0.686,0.158,0.686,0.158,0.0,0.0,0.795,0.062,0.795,0.062,1.0,0.0,1.0,0.0,0.795,0.062,0.795,0.062,0.0
passive,0.2,3.0,8,0.686,0.158,0.686,0.158,0.0,0.0,0.795,0.062,0.795,0.062,1.0,0.0,1.0,0.0,0.795,0.062,0.795,0.062,0.0
passive,0.2,4.0,8,0.686,0.158,0.686,0.158,0.0,0.0,0.795,0.062,0.795,0.062,1.0,0.0,1.0,0.0,0.795,0.062,0.795,0.062,0.0
passive,0.3,0.5,8,0.686,0.158,0.686,0.158,0.0,0.0,0.795,0.062,0.795,0.062,1.0,0.0,1.0,0.0,0.795,0.062,0.795,0.062,0.0
passive,0.3,1.0,8,0.686,0.158,0.686,0.158,0.0,0.0,0.795,0.062,0.795,0.062,1.0,0.0,1.0,0.0,0.795,0.062,0.795,0.062,0.0
passive,0.3,2.0,8,0.686,0.158,0.686,0.158,0.0,0.0,0.795,0.062,0.795,0.062,1.0,0.0,1.0,0.0,0.795,0.062,0.795,0.062,0.0
passive,0.3,3.0,8,0.686,0.158,0.686,0.158,0.0,0.0,0.795,0.062,0.795,0.062,1.0,0.0,1.0,0.0,0.795,0.062,0.795,0.062,0.0
